iLi_x,iLi_y,id,x,y,z
0,0.06835356884809,24345,0.010566243270268,20,0
0,0.06835356884809,24345,0.039433756729772,20,0
1.2301623548602e-17,0.068347214817309,25092,0.06056624327033,20,0
1.2301623548602e-17,0.068347214817309,25092,0.089433756729897,20,0
0,0.068341279691211,5675,0.11056624327048,20,0
0,0.068341279691211,5675,0.13943375673007,20,0
-4.752529870009e-18,0.068315175952252,18507,0.16056624327067,20,0
-4.752529870009e-18,0.068315175952252,18507,0.18943375673025,20,0
5.333289352921e-18,0.068294068020323,17127,0.21056624327084,20,0
5.333289352921e-18,0.068294068020323,17127,0.23943375673043,20,0
-6.8814214959701e-18,0.068270445562117,24999,0.26056624327099,20,0
-6.8814214959701e-18,0.068270445562117,24999,0.2894337567305,20,0
-5.4809709625378e-18,0.068236862758655,5626,0.31056624327103,20,0
-5.4809709625378e-18,0.068236862758655,5626,0.33943375673054,20,0
0,0.068197746519275,19766,0.36056624327109,20,0
0,0.068197746519275,19766,0.38943375673064,20,0
6.1753327249111e-18,0.068157946850081,5438,0.41056624327122,20,0
6.1753327249111e-18,0.068157946850081,5438,0.43943375673081,20,0
9.4610200198846e-18,0.068115589532425,16976,0.4605662432714,20,0
9.4610200198846e-18,0.068115589532425,16976,0.48943375673099,20,0
0,0.06803682332666,22426,0.51056624327158,20,0
0,0.06803682332666,22426,0.53943375673117,20,0
0,0.067982746269569,18918,0.56056624327174,20,0
0,0.067982746269569,18918,0.58943375673126,20,0
0,0.067911589152328,16185,0.6105662432718,20,0
0,0.067911589152328,16185,0.6394337567313,20,0
7.1507872525814e-18,0.067848073940738,24354,0.66056624327185,20,0
7.1507872525814e-18,0.067848073940738,24354,0.68943375673138,20,0
0,0.067777875755581,8352,0.71056624327196,20,0
0,0.067777875755581,8352,0.73943375673154,20,0
0,0.067699060226023,20606,0.76056624327214,20,0
0,0.067699060226023,20606,0.78943375673172,20,0
1.2186936255057e-18,0.067548539120835,562,0.81056624327232,20,0
1.2186936255057e-18,0.067548539120835,562,0.8394337567319,20,0
0,0.067548539120835,11858,0.86056624327248,20,0
0,0.067548539120835,11858,0.88943375673202,20,0
0,0.067387291925132,13581,0.91056624327256,20,0
0,0.067387291925132,13581,0.93943375673207,20,0
0,0.067299287674552,24794,0.96056624327261,20,0
0,0.067299287674552,24794,0.98943375673212,20,0
0,0.067216786115996,13315,1.0105662432727,20,0
0,0.067216786115996,13315,1.0394337567323,20,0
-4.2910352902723e-18,0.067045814662886,11332,1.0605662432729,20,0
-4.2910352902723e-18,0.067045814662886,11332,1.0894337567325,20,0
0,0.06694191272443,24904,1.1105662432731,20,0
0,0.06694191272443,24904,1.1394337567326,20,0
0,0.066825945617496,24892,1.1605662432732,20,0
0,0.066825945617496,24892,1.1894337567328,20,0
-2.0938698188199e-17,0.066741646005397,3608,1.2105662432733,20,0
-2.0938698188199e-17,0.066741646005397,3608,1.2394337567328,20,0
0,0.066526532849307,18557,1.2605662432734,20,0
0,0.066526532849307,18557,1.2894337567329,20,0
1.409781752589e-17,0.06641596003906,23114,1.3105662432734,20,0
1.409781752589e-17,0.06641596003906,23114,1.339433756733,20,0
0,0.066310549241887,4147,1.3605662432736,20,0
0,0.066310549241887,4147,1.3894337567332,20,0
-1.3099737430889e-17,0.066093755431377,25121,1.4105662432738,20,0
-1.3099737430889e-17,0.066093755431377,25121,1.4394337567334,20,0
9.3535772777206e-18,0.0659639434185,16916,1.460566243274,20,0
9.3535772777206e-18,0.0659639434185,16916,1.4894337567335,20,0
0,0.065726403732834,18873,1.5105662432741,20,0
0,0.065726403732834,18873,1.5394337567336,20,0
0,0.06559748377422,25107,1.5605662432741,20,0
0,0.06559748377422,25107,1.5894337567336,20,0
5.4601794039534e-18,0.065404041651328,18748,1.6105662432742,20,0
5.4601794039534e-18,0.065404041651328,18748,1.6394337567338,20,0
0,0.065225861519397,24367,1.6605662432743,20,0
0,0.065225861519397,24367,1.6894337567339,20,0
