iLi_x,iLi_y,id,x,y,z
-1.1063158477014e-17,0.107420291253,22929,0.010566243270268,20,0
-1.1063158477014e-17,0.107420291253,22929,0.039433756729772,20,0
0,0.10741322630769,23623,0.06056624327033,20,0
0,0.10741322630769,23623,0.089433756729897,20,0
0,0.10740662701095,5170,0.11056624327048,20,0
0,0.10740662701095,5170,0.13943375673007,20,0
0,0.107377595397,17349,0.16056624327067,20,0
0,0.107377595397,17349,0.18943375673025,20,0
0,0.10735411437218,15994,0.21056624327084,20,0
0,0.10735411437218,15994,0.23943375673043,20,0
1.0818268693535e-17,0.10732782817418,23545,0.26056624327099,20,0
1.0818268693535e-17,0.10732782817418,23545,0.2894337567305,20,0
0,0.10729044830308,5138,0.31056624327103,20,0
0,0.10729044830308,5138,0.33943375673054,20,0
0,0.10724689026529,18590,0.36056624327109,20,0
0,0.10724689026529,18590,0.38943375673064,20,0
0,0.10720255383837,4963,0.41056624327122,20,0
0,0.10720255383837,4963,0.43943375673081,20,0
0,0.10715534482447,15846,0.4605662432714,20,0
0,0.10715534482447,15846,0.48943375673099,20,0
0,0.10706749906316,21136,0.51056624327158,20,0
0,0.10706749906316,21136,0.53943375673117,20,0
-7.6354356066729e-18,0.10700714531942,17767,0.56056624327174,20,0
-7.6354356066729e-18,0.10700714531942,17767,0.58943375673126,20,0
8.6334718903935e-18,0.10692767754611,15136,0.6105662432718,20,0
8.6334718903935e-18,0.10692767754611,15136,0.6394337567313,20,0
1.1262065146463e-17,0.1068566860947,22943,0.66056624327185,20,0
1.1262065146463e-17,0.1068566860947,22943,0.68943375673138,20,0
-8.6927578120057e-18,0.10677817449997,7678,0.71056624327196,20,0
-8.6927578120057e-18,0.10677817449997,7678,0.73943375673154,20,0
0,0.10668994549234,19407,0.76056624327214,20,0
0,0.10668994549234,19407,0.78943375673172,20,0
0,0.10652124544415,498,0.81056624327232,20,0
0,0.10652124544415,498,0.8394337567319,20,0
1.5374634536131e-17,0.10652124544415,10984,0.86056624327248,20,0
1.5374634536131e-17,0.10652124544415,10984,0.88943375673202,20,0
0,0.10634020550346,12575,0.91056624327256,20,0
0,0.10634020550346,12575,0.93943375673207,20,0
-2.2234556455673e-17,0.10624126795257,23357,0.96056624327261,20,0
-2.2234556455673e-17,0.10624126795257,23357,0.98943375673212,20,0
1.5161024811713e-17,0.10614843970504,12324,1.0105662432727,20,0
1.5161024811713e-17,0.10614843970504,12324,1.0394337567323,20,0
0,0.10595576277674,10460,1.0605662432729,20,0
0,0.10595576277674,10460,1.0894337567325,20,0
0,0.10583849210874,23464,1.1105662432731,20,0
0,0.10583849210874,23464,1.1394337567326,20,0
0,0.10570745508195,23451,1.1605662432732,20,0
0,0.10570745508195,23451,1.1894337567328,20,0
-1.6566718602065e-17,0.10561211451512,3343,1.2105662432733,20,0
-1.6566718602065e-17,0.10561211451512,3343,1.2394337567328,20,0
-7.5767106981598e-18,0.10536834913122,17402,1.2605662432734,20,0
-7.5767106981598e-18,0.10536834913122,17402,1.2894337567329,20,0
0,0.10524281693052,21817,1.3105662432734,20,0
0,0.10524281693052,21817,1.339433756733,20,0
-1.8006145023247e-17,0.10512303760468,3808,1.3605662432736,20,0
-1.8006145023247e-17,0.10512303760468,3808,1.3894337567332,20,0
-2.0786400498521e-17,0.10487632845911,23649,1.4105662432738,20,0
-2.0786400498521e-17,0.10487632845911,23649,1.4394337567334,20,0
1.4850329055819e-17,0.10472853163418,15806,1.460566243274,20,0
1.4850329055819e-17,0.10472853163418,15806,1.4894337567335,20,0
0,0.10445664040599,17718,1.5105662432741,20,0
0,0.10445664040599,17718,1.5394337567336,20,0
0,0.10431138314,23635,1.5605662432741,20,0
0,0.10431138314,23635,1.5894337567336,20,0
0,0.10410104419065,17610,1.6105662432742,20,0
0,0.10410104419065,17610,1.6394337567338,20,0
0,0.10388647955898,22964,1.6605662432743,20,0
0,0.10388647955898,22964,1.6894337567339,20,0
0,0.10364438908271,11503,1.7105662432745,20,0
0,0.10364438908271,11503,1.7394337567341,20,0
0,0.10343112383095,22883,1.7605662432747,20,0
0,0.10343112383095,22883,1.7894337567343,20,0
0,0.10319895042703,3274,1.8105662432749,20,0
0,0.10319895042703,3274,1.8394337567344,20,0
0,0.10295210109873,14073,1.8605662432749,20,0
0,0.10295210109873,14073,1.8894337567344,20,0
0,0.10274631489402,19152,1.910566243275,20,0
0,0.10274631489402,19152,1.9394337567345,20,0
6.502143652207e-18,0.10240039140686,18078,1.9605662432751,20,0
6.502143652207e-18,0.10240039140686,18078,1.9894337567347,20,0
0,0.10218389867033,7432,2.0105662432753,20,0
0,0.10218389867033,7432,2.0394337567348,20,0
1.1551453782579e-17,0.10193128562025,23393,2.0605662432754,20,0
1.1551453782579e-17,0.10193128562025,23393,2.089433756735,20,0
0,0.10168924516097,8507,2.1105662432756,20,0
0,0.10168924516097,8507,2.1394337567351,20,0
-1.3176392525887e-17,0.10142427335993,17901,2.1605662432757,20,0
-1.3176392525887e-17,0.10142427335993,17901,2.1894337567352,20,0
0,0.10106527934658,23408,2.2105662432757,20,0
0,0.10106527934658,23408,2.2394337567352,20,0
-1.3136230332716e-17,0.10083721170841,9418,2.2605662432758,20,0
-1.3136230332716e-17,0.10083721170841,9418,2.2894337567354,20,0
7.1086541588967e-18,0.10037806986279,12333,2.310566243276,20,0
7.1086541588967e-18,0.10037806986279,12333,2.3394337567356,20,0
0,0.10014208896559,23335,2.3605662432762,20,0
0,0.10014208896559,23335,2.3894337567358,20,0
1.4257440445647e-17,0.099893376840091,12464,2.4105662432763,20,0
1.4257440445647e-17,0.099893376840091,12464,2.4394337567359,20,0
3.5347404906567e-18,0.099351956053675,11485,2.4605662432764,20,0
3.5347404906567e-18,0.099351956053675,11485,2.4894337567359,20,0
0,0.099351956053675,110,2.5105662432765,20,0
0,0.099351956053675,110,2.539433756736,20,0
0,0.098662768567291,3467,2.5605662432765,20,0
0,0.098662768567291,3467,2.5894337567361,20,0
-1.0101500514596e-17,0.098418124032607,23034,2.6105662432767,20,0
-1.0101500514596e-17,0.098418124032607,23034,2.6394337567363,20,0
0,0.098045011707594,18052,2.6605662432769,20,0
0,0.098045011707594,18052,2.6894337567365,20,0
6.9726016370139e-18,0.097645052683101,16339,2.7105662432771,20,0
6.9726016370139e-18,0.097645052683101,16339,2.7394337567366,20,0
0,0.097320366526677,12630,2.7605662432772,20,0
0,0.097320366526677,12630,2.7894337567367,20,0
-7.21685318364e-18,0.09692775745694,16769,2.8105662432772,20,0
-7.21685318364e-18,0.09692775745694,16769,2.8394337567367,20,0
0,0.096498787805714,15939,2.8605662432773,20,0
0,0.096498787805714,15939,2.8894337567369,20,0
-1.8714325743109e-17,0.0961039448293,23414,2.9105662432775,20,0
-1.8714325743109e-17,0.0961039448293,23414,2.939433756737,20,0
-1.5844881006777e-17,0.0957853967538,12313,2.9605662432776,20,0
-1.5844881006777e-17,0.0957853967538,12313,2.9894337567372,20,0
0,0.095330923135035,5720,3.0105662432778,20,0
0,0.095330923135035,5720,3.0394337567374,20,0
0,0.094872672232719,18236,3.0605662432779,20,0
0,0.094872672232719,18236,3.0894337567374,20,0
0,0.094271999474531,18165,3.110566243278,20,0
0,0.094271999474531,18165,3.1394337567375,20,0
0,0.093924432563746,22730,3.160566243278,20,0
0,0.093924432563746,22730,3.1894337567376,20,0
0,0.093550150460482,6083,3.2105662432782,20,0
0,0.093550150460482,6083,3.2394337567378,20,0
-8.8640589755355e-18,0.093004471925666,1269,3.2605662432784,20,0
-8.8640589755355e-18,0.093004471925666,1269,3.2894337567379,20,0
-1.2166004790223e-17,0.09253492873408,20054,3.3105662432785,20,0
-1.2166004790223e-17,0.09253492873408,20054,3.3394337567381,20,0
0,0.092082668581122,7542,3.3605662432787,20,0
