iLi_x,iLi_y,id,x,y,z
0,0.13149373544599,20863,0.010566243270268,20,0
0,0.13149373544599,20863,0.039433756729772,20,0
2.3666041275031e-17,0.13148736022602,21501,0.06056624327033,20,0
2.3666041275031e-17,0.13148736022602,21501,0.089433756729897,20,0
0,0.13148140509132,4713,0.11056624327048,20,0
0,0.13148140509132,4713,0.13943375673007,20,0
-9.1450364072594e-18,0.13145520140634,15805,0.16056624327067,20,0
-9.1450364072594e-18,0.13145520140634,15805,0.18943375673025,20,0
1.0264076910457e-17,0.13143400260191,14615,0.21056624327084,20,0
1.0264076910457e-17,0.13143400260191,14615,0.23943375673043,20,0
-1.3245693763718e-17,0.13141026393426,21439,0.26056624327099,20,0
-1.3245693763718e-17,0.13141026393426,21439,0.2894337567305,20,0
-1.0552518664586e-17,0.13137649748469,4679,0.31056624327103,20,0
-1.0552518664586e-17,0.13137649748469,4679,0.33943375673054,20,0
0,0.13133713469882,16895,0.36056624327109,20,0
0,0.13133713469882,16895,0.38943375673064,20,0
1.1895942433405e-17,0.13129705689166,4527,0.41056624327122,20,0
1.1895942433405e-17,0.13129705689166,4527,0.43943375673081,20,0
1.8230778611411e-17,0.13125437110813,14469,0.4605662432714,20,0
1.8230778611411e-17,0.13125437110813,14469,0.48943375673099,20,0
0,0.13117492044524,19207,0.51056624327158,20,0
0,0.13117492044524,19207,0.53943375673117,20,0
0,0.13112031842142,16153,0.56056624327174,20,0
0,0.13112031842142,16153,0.58943375673126,20,0
0,0.13104840166538,13786,0.6105662432718,20,0
0,0.13104840166538,13786,0.6394337567313,20,0
1.3804955303254e-17,0.13098412735264,20875,0.66056624327185,20,0
1.3804955303254e-17,0.13098412735264,20875,0.68943375673138,20,0
0,0.13091301678075,7021,0.71056624327196,20,0
0,0.13091301678075,7021,0.73943375673154,20,0
0,0.1308330587841,17663,0.76056624327214,20,0
0,0.1308330587841,17663,0.78943375673172,20,0
2.3576963906813e-18,0.13068005243311,466,0.81056624327232,20,0
2.3576963906813e-18,0.13068005243311,466,0.8394337567319,20,0
0,0.13068005243311,10053,0.86056624327248,20,0
0,0.13068005243311,10053,0.88943375673202,20,0
0,0.13051566176377,11546,0.91056624327256,20,0
0,0.13051566176377,11546,0.93943375673207,20,0
-2.7295971069795e-17,0.13042574403158,21263,0.96056624327261,20,0
-2.7295971069795e-17,0.13042574403158,21263,0.98943375673212,20,0
-1.8616460095093e-17,0.13034133231165,11333,1.0105662432727,20,0
-1.8616460095093e-17,0.13034133231165,11333,1.0394337567323,20,0
0,0.13016594447042,9591,1.0605662432729,20,0
0,0.13016594447042,9591,1.0894337567325,20,0
0,0.13005909533457,21369,1.1105662432731,20,0
0,0.13005909533457,21369,1.1394337567326,20,0
2.5464290065664e-17,0.12993962278351,21357,1.1605662432732,20,0
2.5464290065664e-17,0.12993962278351,21357,1.1894337567328,20,0
