iLi_x,iLi_y,id,x,y,z
-5.7480738086826e-18,0.055812249635162,25610,0.010566243270268,20,0
-5.7480738086826e-18,0.055812249635162,25610,0.039433756729772,20,0
0,0.055806600404777,26377,0.06056624327033,20,0
0,0.055806600404777,26377,0.089433756729897,20,0
0,0.055801323644145,5993,0.11056624327048,20,0
0,0.055801323644145,5993,0.13943375673007,20,0
0,0.055778117169932,19552,0.16056624327067,20,0
0,0.055778117169932,19552,0.18943375673025,20,0
0,0.055759353383792,18079,0.21056624327084,20,0
0,0.055759353383792,18079,0.23943375673043,20,0
5.6182308445186e-18,0.055738356275412,26288,0.26056624327099,20,0
5.6182308445186e-18,0.055738356275412,26288,0.2894337567305,20,0
0,0.055708508291029,5942,0.31056624327103,20,0
0,0.055708508291029,5942,0.33943375673054,20,0
0,0.055673746941056,20947,0.36056624327109,20,0
0,0.055673746941056,20947,0.38943375673064,20,0
0,0.055638382504561,5737,0.41056624327122,20,0
0,0.055638382504561,5737,0.43943375673081,20,0
0,0.055600751172178,17938,0.4605662432714,20,0
0,0.055600751172178,17938,0.48943375673099,20,0
0,0.0555307873178,23668,0.51056624327158,20,0
0,0.0555307873178,23668,0.53943375673117,20,0
-3.958941910148e-18,0.055482764063929,20001,0.56056624327174,20,0
-3.958941910148e-18,0.055482764063929,20001,0.58943375673126,20,0
4.4746453270736e-18,0.055419585392861,17151,0.6105662432718,20,0
4.4746453270736e-18,0.055419585392861,17151,0.6394337567313,20,0
5.834955723106e-18,0.055363205945957,25617,0.66056624327185,20,0
5.834955723106e-18,0.055363205945957,25617,0.68943375673138,20,0
-4.5020191665058e-18,0.055300906635114,8868,0.71056624327196,20,0
-4.5020191665058e-18,0.055300906635114,8868,0.73943375673154,20,0
0,0.055230978949155,21804,0.76056624327214,20,0
0,0.055230978949155,21804,0.78943375673172,20,0
0,0.055097480512476,601,0.81056624327232,20,0
0,0.055097480512476,601,0.8394337567319,20,0
7.9524382503116e-18,0.055097480512476,12564,0.86056624327248,20,0
7.9524382503116e-18,0.055097480512476,12564,0.88943375673202,20,0
0,0.054954545895726,14372,0.91056624327256,20,0
0,0.054954545895726,14372,0.93943375673207,20,0
-5.7423832051845e-18,0.054876567641281,26081,0.96056624327261,20,0
-5.7423832051845e-18,0.054876567641281,26081,0.98943375673212,20,0
7.8275006959099e-18,0.054803483626285,14102,1.0105662432727,20,0
7.8275006959099e-18,0.054803483626285,14102,1.0394337567323,20,0
-3.4978185413865e-18,0.054652101207468,11983,1.0605662432729,20,0
-3.4978185413865e-18,0.054652101207468,11983,1.0894337567325,20,0
0,0.05456014586676,26200,1.1105662432731,20,0
0,0.05456014586676,26200,1.1394337567326,20,0
1.0672054786784e-17,0.054457547411241,26190,1.1605662432732,20,0
1.0672054786784e-17,0.054457547411241,26190,1.1894337567328,20,0
-8.530722516717e-18,0.054382985905456,3858,1.2105662432733,20,0
-8.530722516717e-18,0.054382985905456,3858,1.2394337567328,20,0
0,0.054192832639731,19612,1.2605662432734,20,0
0,0.054192832639731,19612,1.2894337567329,20,0
0,0.054095144073181,24367,1.3105662432734,20,0
0,0.054095144073181,24367,1.339433756733,20,0
0,0.054002042298323,4397,1.3605662432736,20,0
0,0.054002042298323,4397,1.3894337567332,20,0
0,0.053810683359963,26409,1.4105662432738,20,0
0,0.053810683359963,26409,1.4394337567334,20,0
7.6140254340987e-18,0.053696156890667,17866,1.460566243274,20,0
7.6140254340987e-18,0.053696156890667,17866,1.4894337567335,20,0
0,0.053486731277688,19945,1.5105662432741,20,0
0,0.053486731277688,19945,1.5394337567336,20,0
-5.2676534477151e-18,0.053373131646703,26399,1.5605662432741,20,0
-5.2676534477151e-18,0.053373131646703,26399,1.5894337567336,20,0
0,0.053202756627805,19812,1.6105662432742,20,0
0,0.053202756627805,19812,1.6394337567338,20,0
-5.5636959509402e-18,0.053045947404406,25646,1.6605662432743,20,0
-5.5636959509402e-18,0.053045947404406,25646,1.6894337567339,20,0
0,0.052879802960063,19467,1.7105662432745,20,0
0,0.052879802960063,19467,1.7394337567341,20,0
0,0.05270559457703,25717,1.7605662432747,20,0
0,0.05270559457703,25717,1.7894337567343,20,0
0,0.052573353636122,6971,1.8105662432749,20,0
0,0.052573353636122,6971,1.8394337567344,20,0
0,0.052370365211585,2057,1.8605662432749,20,0
0,0.052370365211585,2057,1.8894337567344,20,0
0,0.052195299840182,20190,1.910566243275,20,0
0,0.052195299840182,20190,1.9394337567345,20,0
-1.3728573940796e-19,0.051887106868462,1722,1.9605662432751,20,0
-1.3728573940796e-19,0.051887106868462,1722,1.9894337567347,20,0
0,0.051746293103703,24121,2.0105662432753,20,0
0,0.051746293103703,24121,2.0394337567348,20,0
-3.60747947488e-18,0.05156491298457,20794,2.0605662432754,20,0
-3.60747947488e-18,0.05156491298457,20794,2.089433756735,20,0
5.7271241431531e-18,0.051360733537766,24895,2.1105662432756,20,0
5.7271241431531e-18,0.051360733537766,24895,2.1394337567351,20,0
0,0.051170343459827,17543,2.1605662432757,20,0
0,0.051170343459827,17543,2.1894337567352,20,0
4.2305561306909e-18,0.050956333190834,19544,2.2105662432757,20,0
4.2305561306909e-18,0.050956333190834,19544,2.2394337567352,20,0
-6.695609900028e-18,0.050757360059885,20152,2.2605662432758,20,0
-6.695609900028e-18,0.050757360059885,20152,2.2894337567354,20,0
0,0.050434375486484,19876,2.310566243276,20,0
0,0.050434375486484,19876,2.3394337567356,20,0
0,0.050247593044037,22425,2.3605662432762,20,0
0,0.050247593044037,22425,2.3894337567358,20,0
4.3664432410649e-18,0.050017611608979,10027,2.4105662432763,20,0
4.3664432410649e-18,0.050017611608979,10027,2.4394337567359,20,0
-6.7962754182122e-18,0.049773479130619,22614,2.4605662432764,20,0
-6.7962754182122e-18,0.049773479130619,22614,2.4894337567359,20,0
-6.1011333114255e-18,0.04958124451291,20546,2.5105662432765,20,0
-6.1011333114255e-18,0.04958124451291,20546,2.539433756736,20,0
0,0.049235074951337,20054,2.5605662432765,20,0
0,0.049235074951337,20054,2.5894337567361,20,0
0,0.048994960364059,12942,2.6105662432767,20,0
0,0.048994960364059,12942,2.6394337567363,20,0
5.6694160816957e-18,0.048749065435761,25862,2.6605662432769,20,0
5.6694160816957e-18,0.048749065435761,25862,2.6894337567365,20,0
0,0.04851090989909,17557,2.7105662432771,20,0
0,0.04851090989909,17557,2.7394337567366,20,0
-6.2688840785864e-18,0.04829622735879,20129,2.7605662432772,20,0
-6.2688840785864e-18,0.04829622735879,20129,2.7894337567367,20,0
0,0.047899640636947,21154,2.8105662432772,20,0
0,0.047899640636947,21154,2.8394337567367,20,0
8.7811569723419e-18,0.04766237708219,26345,2.8605662432773,20,0
8.7811569723419e-18,0.04766237708219,26345,2.8894337567369,20,0
-6.3209245460863e-18,0.047372338784435,23500,2.9105662432775,20,0
-6.3209245460863e-18,0.047372338784435,23500,2.939433756737,20,0
0,0.04707685461506,26340,2.9605662432776,20,0
0,0.04707685461506,26340,2.9894337567372,20,0
-6.8895930757597e-18,0.046822523465732,21101,3.0105662432778,20,0
-6.8895930757597e-18,0.046822523465732,21101,3.0394337567374,20,0
0,0.046399612705239,20098,3.0605662432779,20,0
0,0.046399612705239,20098,3.0894337567374,20,0
0,0.046143337909315,17332,3.110566243278,20,0
0,0.046143337909315,17332,3.1394337567375,20,0
-4.7563987931364e-18,0.045862800841124,25728,3.160566243278,20,0
-4.7563987931364e-18,0.045862800841124,25728,3.1894337567376,20,0
0,0.045568073011713,5749,3.2105662432782,20,0
0,0.045568073011713,5749,3.2394337567378,20,0
5.9070247726737e-18,0.045234462348686,21847,3.2605662432784,20,0
5.9070247726737e-18,0.045234462348686,21847,3.2894337567379,20,0
0,0.04492909341017,5732,3.3105662432785,20,0
0,0.04492909341017,5732,3.3394337567381,20,0
0,0.044626660205524,18284,3.3605662432787,20,0
0,0.044626660205524,18284,3.3894337567383,20,0
0,0.044146811296614,18362,3.4105662432789,20,0
0,0.044146811296614,18362,3.4394337567385,20,0
-4.6805133343298e-18,0.043865515270654,26198,3.4605662432791,20,0
-4.6805133343298e-18,0.043865515270654,26198,3.4894337567387,20,0
0,0.043522056161526,17396,3.5105662432793,20,0
0,0.043522056161526,17396,3.5394337567388,20,0
-4.5373407789913e-18,0.043201905021174,25574,3.5605662432794,20,0
-4.5373407789913e-18,0.043201905021174,25574,3.589433756739,20,0
-6.8814590129763e-18,0.042865916369505,17510,3.6105662432796,20,0
-6.8814590129763e-18,0.042865916369505,17510,3.6394337567392,20,0
-6.3588806694371e-18,0.042485448685642,19231,3.6605662432798,20,0
-6.3588806694371e-18,0.042485448685642,19231,3.6894337567394,20,0
-3.2474463271133e-18,0.042127709585481,2068,3.71056624328,20,0
-3.2474463271133e-18,0.042127709585481,2068,3.7394337567396,20,0
-3.1900561457442e-18,0.041751801330194,15760,3.7605662432802,20,0
-3.1900561457442e-18,0.041751801330194,15760,3.7894337567397,20,0
-3.1443709282515e-18,0.041349880899169,17445,3.8105662432803,20,0
-3.1443709282515e-18,0.041349880899169,17445,3.8394337567399,20,0
-4.3257459898196e-18,0.041012431692225,25526,3.8605662432805,20,0
-4.3257459898196e-18,0.041012431692225,25526,3.8894337567401,20,0
-3.374848024374e-18,0.040637865235341,9719,3.9105662432807,20,0
-3.374848024374e-18,0.040637865235341,9719,3.9394337567402,20,0
7.8184620016892e-18,0.04023948805484,26332,3.9605662432808,20,0
7.8184620016892e-18,0.04023948805484,26332,3.9894337567403,20,0
-3.4535693281825e-18,0.039882235594699,13189,4.0105662432808,20,0
-3.4535693281825e-18,0.039882235594699,13189,4.0394337567403,20,0
0,0.039494245305299,21677,4.0605662432808,20,0
0,0.039494245305299,21677,4.0894337567402,20,0
0,0.039044998234521,15180,4.1105662432806,20,0
0,0.039044998234521,15180,4.13943375674,20,0
4.3435913705643e-18,0.038656149625494,24738,4.1605662432804,20,0
4.3435913705643e-18,0.038656149625494,24738,4.1894337567397,20,0
6.004385525806e-18,0.038291912750565,7022,4.2105662432802,20,0
6.004385525806e-18,0.038291912750565,7022,4.2394337567396,20,0
-5.3524466449281e-18,0.03784504340529,17263,4.26056624328,20,0
-5.3524466449281e-18,0.03784504340529,17263,4.2894337567394,20,0
-1.4829591255578e-17,0.037531518726136,16204,4.3105662432799,20,0
