iLi_x,iLi_y,id,x,y,z
-1.0823719549e-17,0.10509540370503,22917,0.010566243270268,20,0
-1.0823719549e-17,0.10509540370503,22917,0.039433756729772,20,0
0,0.1050883176136,23631,0.06056624327033,20,0
0,0.1050883176136,23631,0.089433756729897,20,0
0,0.10508169857209,5306,0.11056624327048,20,0
0,0.10508169857209,5306,0.13943375673007,20,0
0,0.10505258050692,17388,0.16056624327067,20,0
0,0.10505258050692,17388,0.18943375673025,20,0
0,0.10502902989787,16048,0.21056624327084,20,0
0,0.10502902989787,16048,0.23943375673043,20,0
1.0583900529214e-17,0.10500266628532,23551,0.26056624327099,20,0
1.0583900529214e-17,0.10500266628532,23551,0.2894337567305,20,0
0,0.10496517694489,5273,0.31056624327103,20,0
0,0.10496517694489,5273,0.33943375673054,20,0
0,0.1049214925003,18549,0.36056624327109,20,0
0,0.1049214925003,18549,0.38943375673064,20,0
0,0.10487702845641,5110,0.41056624327122,20,0
0,0.10487702845641,5110,0.43943375673081,20,0
0,0.10482968496759,15915,0.4605662432714,20,0
0,0.10482968496759,15915,0.48943375673099,20,0
0,0.10474159243565,21110,0.51056624327158,20,0
0,0.10474159243565,21110,0.53943375673117,20,0
-7.4694599139714e-18,0.10468107173524,17796,0.56056624327174,20,0
-7.4694599139714e-18,0.10468107173524,17796,0.58943375673126,20,0
8.4456443541659e-18,0.10460138720973,15192,0.6105662432718,20,0
8.4456443541659e-18,0.10460138720973,15192,0.6394337567313,20,0
1.1016867808476e-17,0.1045302055926,22926,0.66056624327185,20,0
1.1016867808476e-17,0.1045302055926,22926,0.68943375673138,20,0
-8.5033433209118e-18,0.10445148669614,7819,0.71056624327196,20,0
-8.5033433209118e-18,0.10445148669614,7819,0.73943375673154,20,0
0,0.10436302945988,19381,0.76056624327214,20,0
0,0.10436302945988,19381,0.78943375673172,20,0
0,0.10419390500161,525,0.81056624327232,20,0
0,0.10419390500161,525,0.8394337567319,20,0
1.5038720244142e-17,0.10419390500161,11139,0.86056624327248,20,0
1.5038720244142e-17,0.10419390500161,11139,0.88943375673202,20,0
0,0.104012428704,12746,0.91056624327256,20,0
0,0.104012428704,12746,0.93943375673207,20,0
-1.0873671382938e-17,0.10391326065945,23353,0.96056624327261,20,0
-1.0873671382938e-17,0.10391326065945,23353,0.98943375673212,20,0
0,0.10382022094277,12516,1.0105662432727,20,0
0,0.10382022094277,12516,1.0394337567323,20,0
0,0.10362712489643,10650,1.0605662432729,20,0
