iLi_x,iLi_y,id,x,y,z
-7.6756401569702e-18,0.074528400088287,23871,0.010566243270268,20,0
-7.6756401569702e-18,0.074528400088287,23871,0.039433756729772,20,0
0,0.074521783164435,24573,0.06056624327033,20,0
0,0.074521783164435,24573,0.089433756729897,20,0
0,0.074515602458991,5510,0.11056624327048,20,0
0,0.074515602458991,5510,0.13943375673007,20,0
0,0.074488417640754,18123,0.16056624327067,20,0
0,0.074488417640754,18123,0.18943375673025,20,0
0,0.074466434722227,16708,0.21056624327084,20,0
0,0.074466434722227,16708,0.23943375673043,20,0
7.5034755955226e-18,0.074441831890041,24484,0.26056624327099,20,0
7.5034755955226e-18,0.074441831890041,24484,0.2894337567305,20,0
0,0.074406853866051,5469,0.31056624327103,20,0
0,0.074406853866051,5469,0.33943375673054,20,0
0,0.074366109749827,19402,0.36056624327109,20,0
0,0.074366109749827,19402,0.38943375673064,20,0
0,0.074324651248855,5294,0.41056624327122,20,0
0,0.074324651248855,5294,0.43943375673081,20,0
0,0.074280525113024,16567,0.4605662432714,20,0
0,0.074280525113024,16567,0.48943375673099,20,0
0,0.074198461360974,22017,0.51056624327158,20,0
0,0.074198461360974,22017,0.53943375673117,20,0
-5.2903695037821e-18,0.074142114143416,18598,0.56056624327174,20,0
-5.2903695037821e-18,0.074142114143416,18598,0.58943375673126,20,0
5.980338170217e-18,0.074067962414193,15838,0.6105662432718,20,0
5.980338170217e-18,0.074067962414193,15838,0.6394337567313,20,0
7.7993501213294e-18,0.0740017658235,23878,0.66056624327185,20,0
7.7993501213294e-18,0.0740017658235,23878,0.68943375673138,20,0
-6.0184901162089e-18,0.073928596856495,8166,0.71056624327196,20,0
-6.0184901162089e-18,0.073928596856495,8166,0.73943375673154,20,0
0,0.073846434425909,20243,0.76056624327214,20,0
0,0.073846434425909,20243,0.78943375673172,20,0
0,0.073689492575392,552,0.81056624327232,20,0
0,0.073689492575392,552,0.8394337567319,20,0
1.0635897212576e-17,0.073689492575392,11547,0.86056624327248,20,0
1.0635897212576e-17,0.073689492575392,11547,0.88943375673202,20,0
0,0.073521321526294,13271,0.91056624327256,20,0
0,0.073521321526294,13271,0.93943375673207,20,0
-7.6837976206217e-18,0.073429519738677,24288,0.96056624327261,20,0
-7.6837976206217e-18,0.073429519738677,24288,0.98943375673212,20,0
-1.0475536230997e-17,0.073343447137613,13003,1.0105662432727,20,0
-1.0475536230997e-17,0.073343447137613,13003,1.0394337567323,20,0
4.6826744696142e-18,0.073165032053824,11007,1.0605662432729,20,0
4.6826744696142e-18,0.073165032053824,11007,1.0894337567325,20,0
0,0.073056581468608,24408,1.1105662432731,20,0
0,0.073056581468608,24408,1.1394337567326,20,0
1.4293185861088e-17,0.072935516778108,24396,1.1605662432732,20,0
1.4293185861088e-17,0.072935516778108,24396,1.1894337567328,20,0
0,0.07284749961541,3502,1.2105662432733,20,0
0,0.07284749961541,3502,1.2394337567328,20,0
5.22208268167e-18,0.072622834092019,18180,1.2605662432734,20,0
5.22208268167e-18,0.072622834092019,18180,1.2894337567329,20,0
0,0.072507318638633,22699,1.3105662432734,20,0
0,0.072507318638633,22699,1.339433756733,20,0
-1.2400650434485e-17,0.072397180182316,4015,1.3605662432736,20,0
-1.2400650434485e-17,0.072397180182316,4015,1.3894337567332,20,0
-1.4304153739555e-17,0.072170591662275,24597,1.4105662432738,20,0
-1.4304153739555e-17,0.072170591662275,24597,1.4394337567334,20,0
1.021442500229e-17,0.072034881305698,16498,1.460566243274,20,0
1.021442500229e-17,0.072034881305698,16498,1.4894337567335,20,0
0,0.071786462051216,18545,1.5105662432741,20,0
0,0.071786462051216,18545,1.5394337567336,20,0
-7.0716439923156e-18,0.071651600088145,24589,1.5605662432741,20,0
-7.0716439923156e-18,0.071651600088145,24589,1.5894337567336,20,0
0,0.071449194278718,18398,1.6105662432742,20,0
0,0.071449194278718,18398,1.6394337567338,20,0
-7.4743508977651e-18,0.071262682898299,23895,1.6605662432743,20,0
-7.4743508977651e-18,0.071262682898299,23895,1.6894337567339,20,0
-1.000331769409e-17,0.071064924375763,18037,1.7105662432745,20,0
-1.000331769409e-17,0.071064924375763,18037,1.7394337567341,20,0
-7.382880619205e-18,0.070857351519417,23948,1.7605662432747,20,0
-7.382880619205e-18,0.070857351519417,23948,1.7894337567343,20,0
0,0.070699666988481,6465,1.8105662432749,20,0
0,0.070699666988481,6465,1.8394337567344,20,0
0,0.070457378293755,1838,1.8605662432749,20,0
0,0.070457378293755,1838,1.8894337567344,20,0
0,0.070248182831728,18759,1.910566243275,20,0
0,0.070248182831728,18759,1.9394337567345,20,0
0,0.069879436601025,1584,1.9605662432751,20,0
0,0.069879436601025,1584,1.9894337567347,20,0
0,0.069710725641088,22442,2.0105662432753,20,0
0,0.069710725641088,22442,2.0394337567348,20,0
4.8617451088739e-18,0.069493248404605,19263,2.0605662432754,20,0
4.8617451088739e-18,0.069493248404605,19263,2.089433756735,20,0
7.7217116266431e-18,0.069248153186689,23208,2.1105662432756,20,0
7.7217116266431e-18,0.069248153186689,23208,2.1394337567351,20,0
-9.4255639874274e-18,0.069019371957647,16184,2.1605662432757,20,0
-9.4255639874274e-18,0.069019371957647,16184,2.1894337567352,20,0
-5.7088330965657e-18,0.068761933477583,18115,2.2105662432757,20,0
