iEn_x,iEn_y,id,x,y,z
-0.99998798565028,1.2266098646277e-05,148461,600,0.81278794386291,0
-0.99998798565028,1.2266098646277e-05,148461,600,3.0333659022758,0
-0.99998736452564,3.8357256074162e-05,148462,600,4.6589417900016,0
-0.99998736452564,3.8357256074162e-05,148462,600,6.8795197484143,0
-0.99999102110692,7.1619388168593e-05,142738,600,8.5050956361397,0
-0.99999102110692,7.1619388168593e-05,142738,600,10.725673594552,0
-0.9999916478602,9.5411704050924e-05,142739,600,12.351249482278,0
-0.9999916478602,9.5411704050924e-05,142739,600,14.571827440691,0
-0.99999291640456,0.00012672520537134,142378,600,16.197403328418,0
-0.99999291640456,0.00012672520537134,142378,600,18.417981286832,0
-0.99999349849306,0.0001492684128629,142379,600,20.043557174558,0
-0.99999349849306,0.0001492684128629,142379,600,22.264135132972,0
-0.99999205548248,0.00017193751122771,145063,600,23.889711020698,0
-0.99999205548248,0.00017193751122771,145063,600,26.11028897911,0
-0.9999906576435,0.00019633701513689,145064,600,27.735864866835,0
-0.9999906576435,0.00019633701513689,145064,600,29.956442825245,0
-0.99998918814217,0.00022015592179529,145059,600,31.582018712969,0
-0.99998918814217,0.00022015592179529,145059,600,33.802596671379,0
-0.99998886992007,0.0002447698683847,145060,600,35.428172559103,0
-0.99998886992007,0.0002447698683847,145060,600,37.648750517513,0
-0.99998881867787,0.00026707880605215,148761,600,39.274326405237,0
-0.99998881867787,0.00026707880605215,148761,600,41.494904363647,0
-0.99998723586443,0.00028924340770493,148762,600,43.12048025137,0
-0.99998723586443,0.00028924340770493,148762,600,45.341058209781,0
-0.99998806025088,0.00031770713331474,145708,600,46.966634097504,0
-0.99998806025088,0.00031770713331474,145708,600,49.187212055914,0
-0.99999032200261,0.00033653524346405,145705,600,50.812787943638,0
-0.99999032200261,0.00033653524346405,145705,600,53.033365902048,0
-0.99999120897644,0.00035452779465158,147266,600,54.658941789772,0
-0.99999120897644,0.00035452779465158,147266,600,56.879519748182,0
-0.99999219211435,0.00037143942765222,147267,600,58.505095635906,0
-0.99999219211435,0.00037143942765222,147267,600,60.725673594316,0
-0.99999316969533,0.00038620054068771,147264,600,62.351249482041,0
-0.99999316969533,0.00038620054068771,147264,600,64.571827440456,0
-0.99999396295645,0.00040038989017845,147261,600,66.197403328184,0
-0.99999396295645,0.00040038989017845,147261,600,68.417981286602,0
-0.99999502272973,0.00041284289438434,148910,600,70.043557174332,0
-0.99999502272973,0.00041284289438434,148910,600,72.26413513275,0
-0.99999566292848,0.00042361798726111,148911,600,73.889711020479,0
-0.99999566292848,0.00042361798726111,148911,600,76.110288978897,0
-0.9999961785831,0.00043300066643917,146117,600,77.735864866627,0
-0.9999961785831,0.00043300066643917,146117,600,79.956442825045,0
-0.99999670010155,0.00044102810922429,146118,600,81.582018712774,0
-0.99999670010155,0.00044102810922429,146118,600,83.802596671192,0
-0.99999732017639,0.00044764136373424,144382,600,85.428172558922,0
-0.99999732017639,0.00044764136373424,144382,600,87.64875051734,0
-0.99999806277452,0.00045261859190156,144383,600,89.274326405069,0
-0.99999806277452,0.00045261859190156,144383,600,91.494904363487,0
-0.99999876694405,0.00045588065252892,149085,600,93.120480251217,0
-0.99999876694405,0.00045588065252892,149085,600,95.341058209635,0
-0.99999939426087,0.0004577781446273,149086,600,96.966634097364,0
-0.99999939426087,0.0004577781446273,149086,600,99.187212055782,0
-1.0000004788002,0.00045800894107058,148970,600,100.81278794351,0
-1.0000004788002,0.00045800894107058,148970,600,103.03336590193,0
-1.0000011916977,0.00045629841950675,148971,600,104.65894178966,0
-1.0000011916977,0.00045629841950675,148971,600,106.87951974808,0
-1.0000019245288,0.0004532173665052,144477,600,108.50509563581,0
-1.0000019245288,0.0004532173665052,144477,600,110.72567359423,0
-1.0000027162172,0.00044845939607325,144478,600,112.35124948195,0
-1.0000027162172,0.00044845939607325,144478,600,114.57182744037,0
-1.0000034539871,0.00044216435049989,143365,600,116.1974033281,0
-1.0000034539871,0.00044216435049989,143365,600,118.41798128652,0
-1.0000050752593,0.00043440599304408,143366,600,120.04355717425,0
-1.0000050752593,0.00043440599304408,143366,600,122.26413513267,0
-1.0000064114476,0.00042109131965622,148642,600,123.8897110204,0
-1.0000064114476,0.00042109131965622,148642,600,126.11028897882,0
-1.0000061153005,0.00040961565123992,148643,600,127.73586486655,0
-1.0000061153005,0.00040961565123992,148643,600,129.95644282498,0
-1.0000063013898,0.00039730890325311,145082,600,131.58201871272,0
-1.0000063013898,0.00039730890325311,145082,600,133.80259667116,0
-1.0000060199517,0.00038293532062985,145083,600,135.4281725589,0
-1.0000060199517,0.00038293532062985,145083,600,137.64875051733,0
-1.0000049380277,0.00036956918183893,142349,600,139.27432640507,0
-1.0000049380277,0.00036956918183893,142349,600,141.49490436351,0
-1.0000073221296,0.00035381863483741,142350,600,143.12048025125,0
-1.0000073221296,0.00035381863483741,142350,600,145.34105820968,0
-1.0000105049736,0.00033032359567598,149074,600,146.96663409742,0
-1.0000105049736,0.00033032359567598,149074,600,149.18721205586,0
-1.0000095832928,0.00031143084271189,149075,600,150.8127879436,0
-1.0000095832928,0.00031143084271189,149075,600,153.03336590203,0
-1.0000097247743,0.00029094385117521,144913,600,154.65894178977,0
-1.0000097247743,0.00029094385117521,144913,600,156.87951974821,0
-1.0000087072541,0.00026960174987389,144914,600,158.50509563595,0
-1.0000087072541,0.00026960174987389,144914,600,160.72567359438,0
-1.0000075603417,0.00025057523818041,141911,600,162.35124948212,0
-1.0000075603417,0.00025057523818041,141911,600,164.57182744056,0
