iEn_x,iEn_y,id,x,y,z
-0.99895765755814,8.7544398042087e-06,144603,500,0.21132486540435,0
-0.99895765755814,8.7544398042087e-06,144603,500,0.78867513459168,0
-0.9989573595065,2.7007062082081e-05,144602,500,1.2113248654004,0
-0.9989573595065,2.7007062082081e-05,144602,500,1.7886751345877,0
-0.99895742932371,4.5269699122723e-05,143323,500,2.2113248653964,0
-0.99895742932371,4.5269699122723e-05,143323,500,2.7886751345838,0
-0.99895710934498,6.3109437199006e-05,143322,500,3.2113248653925,0
-0.99895710934498,6.3109437199006e-05,143322,500,3.7886751345799,0
-0.99895721629003,7.8343173555409e-05,141826,500,4.2113248653887,0
-0.99895721629003,7.8343173555409e-05,141826,500,4.7886751345761,0
-0.99896060402261,9.4470006449039e-05,141825,500,5.2113248653848,0
-0.99896060402261,9.4470006449039e-05,141825,500,5.7886751345721,0
-0.99896423125394,0.0001186336934485,147840,500,6.2113248653808,0
-0.99896423125394,0.0001186336934485,147840,500,6.788675134568,0
-0.99896339198688,0.00013553532744055,147839,500,7.2113248653766,0
-0.99896339198688,0.00013553532744055,147839,500,7.7886751345638,0
-0.99896420436577,0.00014978467043644,142427,500,8.2113248653724,0
-0.99896420436577,0.00014978467043644,142427,500,8.7886751345595,0
-0.99896859776886,0.00016584471197461,142426,500,9.2113248653681,0
-0.99896859776886,0.00016584471197461,142426,500,9.7886751345552,0
-0.99897168095242,0.00018819307091394,142520,500,10.211324865364,0
-0.99897168095242,0.00018819307091394,142520,500,10.788675134551,0
-0.99897409988923,0.00020396863209874,142519,500,11.21132486536,0
-0.99897409988923,0.00020396863209874,142519,500,11.788675134547,0
-0.99897855770919,0.00022680946765359,148882,500,12.211324865356,0
-0.99897855770919,0.00022680946765359,148882,500,12.788675134543,0
-0.99897961627361,0.00024322430961764,148881,500,13.211324865352,0
-0.99897961627361,0.00024322430961764,148881,500,13.788675134539,0
-0.9989826426158,0.00025961192668721,148224,500,14.211324865348,0
-0.9989826426158,0.00025961192668721,148224,500,14.788675134536,0
-0.99898560303663,0.00027613947478769,148223,500,15.211324865345,0
-0.99898560303663,0.00027613947478769,148223,500,15.788675134532,0
-0.99898859231343,0.00029152835121032,142827,500,16.211324865341,0
-0.99898859231343,0.00029152835121032,142827,500,16.788675134529,0
-0.99899356578359,0.00030630873694224,142826,500,17.211324865338,0
-0.99899356578359,0.00030630873694224,142826,500,17.788675134526,0
-0.99900214596533,0.00033036857822413,147864,500,18.211324865334,0
-0.99900214596533,0.00033036857822413,147864,500,18.788675134522,0
-0.99900473949894,0.00034746231460316,147863,500,19.211324865331,0
-0.99900473949894,0.00034746231460316,147863,500,19.788675134519,0
-0.99900845378604,0.00036140992408679,142824,500,20.211324865328,0
-0.99900845378604,0.00036140992408679,142824,500,20.788675134515,0
-0.99901246798496,0.00037665413622074,142823,500,21.211324865324,0
-0.99901246798496,0.00037665413622074,142823,500,21.788675134512,0
-0.99901857529189,0.00038838575253099,148241,500,22.211324865321,0
-0.99901857529189,0.00038838575253099,148241,500,22.788675134508,0
-0.99902704392551,0.00040266298140568,148244,500,23.211324865317,0
-0.99902704392551,0.00040266298140568,148244,500,23.788675134505,0
-0.99903717663536,0.00043040302193832,147560,500,24.211324865314,0
-0.99903717663536,0.00043040302193832,147560,500,24.788675134501,0
-0.99903988851576,0.00044723418984039,147559,500,25.21132486531,0
-0.99903988851576,0.00044723418984039,147559,500,25.788675134496,0
-0.99904364924032,0.0004609214974802,142658,500,26.211324865305,0
-0.99904364924032,0.0004609214974802,142658,500,26.788675134492,0
-0.9990506580729,0.00047608625748364,142657,500,27.2113248653,0
-0.9990506580729,0.00047608625748364,142657,500,27.788675134486,0
-0.99905800477739,0.00048859002661076,146417,500,28.211324865295,0
-0.99905800477739,0.00048859002661076,146417,500,28.788675134481,0
-0.99906605556615,0.00050490943904183,146420,500,29.211324865289,0
-0.99906605556615,0.00050490943904183,146420,500,29.788675134476,0
-0.99907396539333,0.00051998946088525,149127,500,30.211324865284,0
-0.99907396539333,0.00051998946088525,149127,500,30.788675134471,0
-0.99908285204522,0.00053596744140239,149126,500,31.211324865279,0
-0.99908285204522,0.00053596744140239,149126,500,31.788675134466,0
-0.99909083760602,0.00055817738542426,142330,500,32.211324865274,0
-0.99909083760602,0.00055817738542426,142330,500,32.78867513446,0
-0.99909591033407,0.00057311929391385,142329,500,33.211324865269,0
-0.99909591033407,0.00057311929391385,142329,500,33.788675134455,0
-0.9991042256426,0.00058548342708283,144509,500,34.211324865263,0
-0.9991042256426,0.00058548342708283,144509,500,34.78867513445,0
-0.99911340984652,0.0005999930590476,144512,500,35.211324865258,0
-0.99911340984652,0.0005999930590476,144512,500,35.788675134445,0
