id,potEn,x,y,z
141459,-6.1134805442266e-09,-4.5890905394916,205,0
141459,-2.2815820002137e-08,-3.4664650160718,205,0
141458,-3.5467662336156e-08,-2.6446460950549,205,0
141458,-5.3330798944134e-08,-1.522020571635,205,0
140933,-6.7136639683199e-08,-0.70020165061799,205,0
140933,-8.6991761415551e-08,0.42242387280198,205,0
140932,-1.0244105843468e-07,1.244242793819,205,0
140932,-1.2479420109981e-07,2.3668683172388,205,0
140713,-1.4198797517479e-07,3.1886872382556,205,0
140713,-1.6660909685636e-07,4.3113127616753,205,0
140712,-1.851964416311e-07,5.1331316826921,205,0
140712,-2.1135689025191e-07,6.2557572061117,205,0
140233,-2.3073113778111e-07,7.0775761271286,205,0
140233,-2.5750211776848e-07,8.2002016505486,205,0
140232,-2.7714324866524e-07,9.0220205715658,205,0
140232,-3.0403283620593e-07,10.144646094986,205,0
140931,-3.2368524362743e-07,10.966465016004,205,0
140931,-3.5048703165334e-07,12.089090539424,205,0
140930,-3.7005262948155e-07,12.910909460442,205,0
140930,-3.9670504880276e-07,14.033534983862,205,0
141507,-4.1616479954864e-07,14.85535390488,205,0
141507,-4.4267740796779e-07,15.9779794283,205,0
141506,-4.6202080943097e-07,16.799798349318,205,0
141506,-4.883553566004e-07,17.922423872738,205,0
141583,-5.0757659640516e-07,18.744242793756,205,0
141583,-5.3375545296679e-07,19.866868317176,205,0
141582,-5.5285694178045e-07,20.688687238193,205,0
141582,-5.7886432315791e-07,21.811312761613,205,0
141708,-5.9784190137808e-07,22.633131682629,205,0
141708,-6.2368222790272e-07,23.755757206048,205,0
141711,-6.4253248832253e-07,24.577576127064,205,0
141711,-6.6819203100072e-07,25.700201650483,205,0
141655,-6.8691861211319e-07,26.522020571499,205,0
141655,-7.1242104048632e-07,27.644646094919,205,0
141654,-7.310234314945e-07,28.466465015936,205,0
141654,-7.5634368049798e-07,29.589090539357,205,0
141644,-7.7481730420041e-07,30.410909460374,205,0
141644,-7.9996793375187e-07,31.533534983795,205,0
141647,-8.1831150617845e-07,32.355353904812,205,0
141647,-8.4327644848873e-07,33.477979428233,205,0
