time,cLi_s1,cLi_s2,cLi_s3,cLi_s4,cLi_s5,cLi_s6
0,0,0,0,0,0,0
1,0.020153534068218,0.0055133695574021,0.00016849782038619,3.0678253449752e-07,5.8089249029975e-10,1.046445428158e-12
2.5,0.033147799759196,0.0093898691182299,0.00059350658436901,4.7070221634941e-06,3.0868048487152e-08,1.852752313261e-10
4.75,0.045241610242295,0.013524162915515,0.0013775435008961,3.2928515890914e-05,6.0097692045401e-07,9.7869058538886e-09
8.125,0.057232085740493,0.018543487031526,0.0026793774378971,0.00014648847936299,6.1543803024e-06,2.3082417194387e-07
13.1875,0.06921438481728,0.024844777984599,0.0047418054317851,0.00048306263681519,3.9651023030833e-05,2.9970493613621e-06
20.78125,0.081073365593913,0.032582540591978,0.0078811805438757,0.0012877098666589,0.00017992831310634,2.4520038080013e-05
28.375,0.089651964643649,0.039080009107701,0.010957160854769,0.0023077622965878,0.00042356482391093,7.6879772625332e-05
39.765625,0.098629782766378,0.046898825705155,0.015279923308655,0.0041151174909633,0.0010101807145305,0.0002606158984585
51.15625,0.10531847990974,0.053347802649537,0.019267307655119,0.006058048026053,0.0017822719390075,0.0005695137463978
62.546875,0.11053240793439,0.058786902820531,0.022927151547323,0.0080494246278684,0.0027006090234184,0.0010092349646756
73.9375,0.11473249061336,0.063457383985688,0.026286742643186,0.010038113420456,0.0037304729497929,0.001575226862866
80,0.11673312792011,0.065756662584276,0.027995155464958,0.01109004279398,0.0043051700554027,0.0019107409591676
