time,cLi_avg,q_left
0,0,0
1,0.0047080972229551,1.7924585087922e-05
2.5,0.0077749229185541,4.7639895729143e-05
4.75,0.010854439524691,7.011900097157e-05
8.125,0.014242338863339,7.9225063701712e-05
11.5,0.017003568610959,7.9526293394128e-05
16.5625,0.020374263935602,7.5303396928434e-05
24.15625,0.024470596804028,6.8111212969701e-05
35.546875,0.029413789480186,5.945412060428e-05
46.9375,0.033598945424388,5.2897863551628e-05
58.328125,0.037253753471397,4.7825116243958e-05
75.4140625,0.041916531745091,4.2174701202201e-05
92.5,0.045985789831737,3.7851911850833e-05
109.5859375,0.049601317932722,3.4404362272309e-05
135.21484375,0.054270740777442,3.0402381106295e-05
160.84375,0.058368316729738,2.7247274254459e-05
186.47265625,0.062016389842705,2.4684055696535e-05
224.916015625,0.066726454652354,2.1674144991133e-05
263.359375,0.070852133336154,1.9298175723393e-05
301.802734375,0.074516120080314,1.737479574628e-05
340.24609375,0.07780645100401,1.5786540015764e-05
397.9111328125,0.082091511554741,1.389761702292e-05
455.576171875,0.085867216830106,1.2394290993485e-05
513.2412109375,0.089234296581814,1.117076662165e-05
570.90625,0.092266797830047,1.015655614065e-05
657.40380859375,0.096226768970744,8.9462048153199e-06
743.9013671875,0.099721177546274,7.9799853585858e-06
830.39892578125,0.10283935736737,7.1915956307453e-06
916.896484375,0.10564774569161,6.5366650786008e-06
1046.6428222656,0.10931251846767,5.7534891947392e-06
1176.3891601562,0.112542027741,5.1268921905963e-06
1306.1354980469,0.11541856200366,4.6146058862679e-06
1435.8818359375,0.11800371344889,4.1883136650854e-06
1565.6281738281,0.12034465319003,3.8282909116862e-06
1760.2476806641,0.12341633365818,3.3901846740481e-06
1800,0.12402661976557,3.3082910924312e-06
