id,potLi,x,y,z
7563,0,0,8.6211324865405,0
17372,0,0,1.4211324865405,0
17372,0,0,1.4788675134595,0
17309,0,0,1.6211324865405,0
17309,0,0,1.6788675134595,0
17247,0,0,9.3211324865405,0
17247,0,0,9.3788675134595,0
17183,0,0,7.1211324865405,0
17183,0,0,7.1788675134595,0
7043,0,0,0.47886751345948,0
7043,0,0,0.42113248654052,0
17049,0,0,5.4211324865405,0
17049,0,0,5.4788675134595,0
7563,0,0,8.6788675134595,0
17401,0,0,9.2788675134595,0
7698,0,0,2.0788675134595,0
7698,0,0,2.0211324865405,0
7750,0,0,6.1788675134595,0
7750,0,0,6.1211324865405,0
7889,0,0,9.7788675134595,0
7889,0,0,9.7211324865405,0
17010,0,0,5.2211324865405,0
17010,0,0,5.2788675134595,0
8216,0,0,5.6788675134595,0
8216,0,0,5.6211324865405,0
16992,0,0,6.4211324865405,0
16992,0,0,6.4788675134595,0
17849,0,0,1.2788675134595,0
18631,0,0,4.5788675134595,0
5311,0,0,0.57886751345948,0
5311,0,0,0.52113248654052,0
18380,0,0,4.3211324865405,0
18380,0,0,4.3788675134595,0
5768,0,0,5.3788675134595,0
18151,0,0,9.8211324865405,0
18151,0,0,9.8788675134595,0
18148,0,0,6.7211324865405,0
18148,0,0,6.7788675134595,0
18087,0,0,5.9211324865405,0
18087,0,0,5.9788675134595,0
17849,0,0,1.2211324865405,0
16951,0,0,8.8211324865405,0
17822,0,0,8.4211324865405,0
17822,0,0,8.4788675134595,0
6130,0,0,7.0788675134595,0
6130,0,0,7.0211324865405,0
12922,0,0,3.1788675134595,0
6418,0,0,0.27886751345948,0
6418,0,0,0.22113248654052,0
17748,0,0,0.12113248654052,0
17748,0,0,0.17886751345948,0
17517,0,0,7.6211324865405,0
17517,0,0,7.6788675134595,0
17401,0,0,9.2211324865405,0
14470,0,0,4.8788675134595,0
10457,0,0,4.4211324865405,0
10991,0,0,4.9788675134595,0
10991,0,0,4.9211324865405,0
12295,0,0,1.0211324865405,0
15167,0,0,0.82113248654052,0
15167,0,0,0.87886751345948,0
12295,0,0,1.0788675134595,0
12932,0,0,5.7211324865405,0
15036,0,0,2.9211324865405,0
15036,0,0,2.9788675134595,0
