time,cLi_s1,cLi_s2,cLi_s3,cLi_s4,cLi_s5,cLi_s6
0,0.14335990752366,0.11648469903531,0.10440581480492,0.09725462854288,0.088725259027225,0.071920840933472
10,0.14188924181417,0.11708624342926,0.10468343226488,0.097157119836503,0.088195408985075,0.082199823229787
25,0.13985491346222,0.11781735441302,0.10507425323375,0.097071462126446,0.08903659318692,0.095938120203034
47.5,0.13721357372584,0.11851342216901,0.10562317699744,0.097373969750014,0.092279384781718,0.11298753166726
81.25,0.13399807566281,0.11891680611775,0.1064690001778,0.09879989144557,0.09795546770476,0.12512907275084
131.875,0.13031556644549,0.11885807712768,0.1079070412862,0.10197350415508,0.10531139028257,0.13390006247406
207.8125,0.12643108346019,0.1184780733202,0.11023540878541,0.10695896489077,0.11351939114229,0.14081903993103
321.71875,0.12293109546876,0.11825655393216,0.11351309628924,0.1132601612955,0.12189597947487,0.14645272334769
492.578125,0.12072410687053,0.11883227139177,0.11756619003059,0.12011685996029,0.12984859985605,0.15105232659324
748.8671875,0.12070130050316,0.1207987741183,0.1222301773177,0.12686794051807,0.13689928181572,0.15471208108222
1133.30078125,0.12330499573726,0.12452304608196,0.12751530745997,0.13322788928388,0.14285529481243,0.15753277491862
1709.951171875,0.1283719938402,0.13000728124063,0.13351059412783,0.1392959766255,0.14789882268361,0.15971921954251
2574.9267578125,0.13527150855566,0.13687162672849,0.14015645504666,0.14526880728778,0.15237966298404,0.16151597018431
3600,0.14182435184219,0.1432061483613,0.14599172871197,0.15020622892345,0.15586096698345,0.16284070590797
