time,cLi_avg,q_left
0,0,0
1,0.0082063323231559,3.6141917849567e-05
2.5,0.013762903672421,9.677636214951e-05
4.75,0.01929268940627,0.00014297788366639
8.125,0.02533862244738,0.00016162550701413
13.1875,0.032212236028538,0.00015901124214064
20.78125,0.040161761878163,0.00014448701725005
28.375,0.046737089824093,0.00013055826965779
35.96875,0.052398922678149,0.00011882944261496
43.5625,0.057399553830606,0.00010914363222607
54.953125,0.063852491610836,9.7817728638943e-05
66.34375,0.069524255303497,8.8861912683249e-05
77.734375,0.074585206573154,8.1554223927341e-05
89.125,0.079151588468333,7.543208527915e-05
106.2109375,0.085134925106361,6.797042180363e-05
123.296875,0.090427367447154,6.1809026801369e-05
140.3828125,0.095155112140807,5.6598444876286e-05
157.46875,0.099412284248476,5.2114874433756e-05
174.5546875,0.10327121356075,4.8205858985324e-05
191.640625,0.1067888318841,4.4762422081257e-05
200,0.10843449150181,4.3196044687733e-05
