time,cLi_avg,q_left
0,0.10843451177644,2.369798583878e-05
1,0.10881115961072,1.5924621298407e-06
2.5,0.10937613136213,-1.4182856317015e-06
4.75,0.11014445339094,-3.6346506830282e-06
8.125,0.1110809336768,-6.1402966895019e-06
10,0.11148633425221,-5.2608530027757e-06
