time,cLi_s1,cLi_s2,cLi_s3,cLi_s4,cLi_s5,cLi_s6
0,0,0,0,0,0,0
1,0.0098131869346554,1.6322270256415e-05,3.0913523546604e-08,5.8283902790923e-11,1.0881026876561e-13,1.9443179518209e-16
2.5,0.016015940343343,0.00012262113139146,8.6589223951026e-07,5.4474733176017e-09,3.2952144719984e-11,1.9290330113556e-13
4.75,0.021913398522532,0.00048032111193904,9.7922802490688e-06,1.6738502251008e-07,2.6676319324335e-09,4.137804659954e-11
8.125,0.027860400606422,0.0013099558959017,6.2062541130582e-05,2.4266273625538e-06,8.6281486742559e-08,3.0113019466953e-09
13.1875,0.033917259798004,0.002813167844689,0.00025788377893526,1.9886688095574e-05,1.376264930852e-06,9.5235944783195e-08
18.25,0.038443884057434,0.0043662829105697,0.00056443621918309,6.0577346347945e-05,5.6006770643347e-06,5.0377768314735e-07
25.84375,0.043393729660565,0.0065767278361903,0.0011999953613547,0.00018947105535647,2.6096720499495e-05,3.6210841156467e-06
37.234375,0.048690144147231,0.0094888027233224,0.0023418455618105,0.00052819682090879,0.00010742041064884,2.3318328234563e-05
48.625,0.052758194394602,0.012031370518202,0.0035455740569063,0.00097945230435356,0.00024691456001411,6.7643621545769e-05
60.015625,0.056039028380066,0.01426738940742,0.004745914527079,0.001508525815781,0.00044360645947344,0.0001441631497228
71.40625,0.058777130526355,0.016253877398231,0.005911717318033,0.0020871530711091,0.00069186632746122,0.00025750210006677
88.4921875,0.062082704784348,0.018807999342254,0.0075496260829002,0.0030072506025533,0.0011565740364901,0.00051353421787406
105.578125,0.064836253831929,0.021036994453905,0.0090725805638249,0.0039436195753605,0.0016910014817397,0.00085004529287897
122.6640625,0.067189184513491,0.023011865375678,0.010488241765951,0.0048766863774674,0.0022768547004884,0.0012571579573871
139.75,0.069239491107378,0.024783941244458,0.011807870162343,0.0057963366257687,0.0029000122056608,0.0017235628585052
156.8359375,0.071053966760718,0.026391261667667,0.013043057542327,0.0066977449567061,0.0035497277160149,0.0022381906924185
173.921875,0.072680065743768,0.027862674599365,0.014204492874586,0.0075789641789454,0.0042178214440937,0.0027910266161809
191.0078125,0.07415265936938,0.029220503984429,0.015301577404143,0.008439567334338,0.0048980316442243,0.0033734087234165
216.63671875,0.076094626556428,0.031054235087644,0.016827113305834,0.0096855744597533,0.0059311338079731,0.0042911436501913
242.265625,0.077827238190432,0.032725548590984,0.018252843119876,0.010889253505128,0.006966571185236,0.0052357538802967
267.89453125,0.079392273627745,0.034264642023987,0.019594653716014,0.012053433907388,0.0079970874057565,0.006194469043094
293.5234375,0.080820796625379,0.035694421327881,0.020865013122413,0.013180815189516,0.0090176553180714,0.0071579641631149
319.15234375,0.082136416731178,0.03703255137183,0.022073768293885,0.014273847156414,0.010024825470449,0.0081194916374035
344.78125,0.083357412344328,0.038292852375877,0.023228764773352,0.015334716847788,0.011016276756835,0.0090742134047231
370.41015625,0.084498156190062,0.039486276090045,0.024336317695878,0.016365372825817,0.011990500804487,0.010018700235439
396.0390625,0.085570101127745,0.040621603149339,0.025401566491746,0.017367558514596,0.012946577133252,0.010950560961243
434.482421875,0.087051390884943,0.042215219863024,0.026916947474327,0.018811513561477,0.014338425344746,0.012315131290687
472.92578125,0.088427655449736,0.043716554768354,0.028360290745375,0.020200645199854,0.015687984598523,0.013644013004433
511.369140625,0.089715476007922,0.045138713353252,0.0297398532297,0.021538924402965,0.016996011091874,0.014936238301739
549.8125,0.090927710735368,0.046491935177144,0.031062289940517,0.022829884972389,0.018263725826037,0.016191797486938
588.255859375,0.092074473246236,0.047784362994011,0.032333065806228,0.024076693898877,0.019492612219794,0.01741128448113
626.69921875,0.093163832596299,0.04902257958106,0.033556744696148,0.025282205844568,0.020684285520147,0.018595663886549
665.142578125,0.094202315784546,0.050211988589808,0.03473719551418,0.026449006160893,0.021840408850009,0.019746117438738
703.5859375,0.095195272269322,0.051357088919152,0.035877741589762,0.027579445578254,0.02296263979079,0.020863942712962
742.029296875,0.096147141424324,0.052461675246196,0.036981270772085,0.028675668733432,0.0240525970701,0.021950486483172
780.47265625,0.097061650990491,0.053528986592813,0.03805031789913,0.029739638027571,0.025111840529356,0.023007101213233
818.916015625,0.097941965924187,0.054561817824521,0.0390871275606,0.030773153856515,0.026141859865797,0.024035117072307
857.359375,0.098790801204904,0.055562604370589,0.040093702596312,0.031777871955927,0.027144069152877,0.025035824406395
895.802734375,0.099610508190164,0.056533487365564,0.041071842118564,0.032755318403955,0.028119805135238,0.026010463263067
934.24609375,0.10040314136663,0.057476364312503,0.042023171731355,0.033706902689091,0.029070327952567,0.026960217668212
972.689453125,0.10117051043862,0.058392928922141,0.042949167857281,0.034633929157427,0.029996823386541,0.027886213089293
1011.1328125,0.10191422135212,0.059284702774481,0.043851177555983,0.035537607087244,0.030900406021236,0.028789516015048
1049.576171875,0.10263570889754,0.060153060739273,0.044730434849269,0.036419059590578,0.031782122907868,0.029671134917718
1107.2412109375,0.10367219342314,0.06140670472689,0.046001564367971,0.037694396211879,0.033058480274866,0.030947660475158
1164.90625,0.10466639286105,0.062615076854954,0.047228284588281,0.03892602498807,0.034291609318008,0.032181199829891
1222.5712890625,0.10562143606051,0.063781370643042,0.048413587705724,0.040116779030828,0.035484234937624,0.033374423280862
1280.236328125,0.10654011171215,0.064908424497964,0.049560162161825,0.041269227095566,0.036638844297342,0.034529776819874
1337.9013671875,0.10742490895795,0.065998778376844,0.050670434566433,0.042385705060083,0.037757711295561,0.035649503054936
