time,cLi_s1,cLi_s2,cLi_s3,cLi_s4,cLi_s5,cLi_s6
0,0,0,0,0,0,0
1,0.020165334403729,0.0064776287505959,0.0064279951192937,0.0015456699925287,2.8949252157694e-06,5.4840415092699e-09
2.5,0.033170419545209,0.011026504843065,0.010754138796611,0.00296341691442,2.7366732420715e-05,1.8904163295894e-07
4.75,0.045283900699313,0.015925932018529,0.015007614139623,0.0046961058304816,0.00012950302335085,2.5838401182034e-06
8.125,0.057325618611043,0.021899755703232,0.019622673326838,0.0069043554445607,0.00042033178370443,1.9890777214e-05
13.1875,0.069434433784114,0.029409922012122,0.024913826765004,0.0097364665705973,0.0010702748402633,0.00010216501091191
20.78125,0.08156204978021,0.038660073820297,0.031208401584971,0.013377227878572,0.0023052369019169,0.00038897976777773
28.375,0.090457167455509,0.046463971891926,0.036562327592917,0.016629154340577,0.0036777194891844,0.00084205851276828
35.96875,0.097379829893704,0.053171759205323,0.041273912344667,0.019604635092144,0.0051238184873324,0.0014480142422412
47.359375,0.1051535222373,0.061461448375616,0.047333551095126,0.023626270230991,0.0073648089889073,0.0026367099546785
58.75,0.11125657333908,0.068448617458072,0.052633057342363,0.027306434524158,0.0096303650871058,0.0040410128195576
70.140625,0.11621131172854,0.074445027718062,0.057332009907585,0.030708769018443,0.011895412262372,0.005606247131682
81.53125,0.12033401398126,0.079665885098199,0.061542902575671,0.033878256489369,0.014145210059832,0.0072882334540136
92.921875,0.12382940911874,0.084265193657068,0.065349474338479,0.036848875467878,0.016370372839979,0.0090521595293563
110.0078125,0.12807155244248,0.090100848360577,0.070342714393867,0.040937794730994,0.019634331886122,0.011801154066213
127.09375,0.1315772997893,0.095115743493803,0.07476465599866,0.044721235418841,0.022813322997404,0.014595471307654
140,0.13388831696444,0.098516813551619,0.077829475564839,0.047426771761588,0.02516335640501,0.016713515478071
