time,cLi_s1,cLi_s2,cLi_s3,cLi_s4,cLi_s5,cLi_s6
0,0.14696920827564,0.12889528082035,0.12208683968214,0.11873836818853,0.11618520703155,0.11140844378674
10,0.14686034075867,0.12894427932522,0.12211177107719,0.11874688189917,0.11617609829646,0.11602046460194
25,0.14669809185854,0.12901715032348,0.12214884945653,0.11875968243526,0.11616640574772,0.11860607208827
47.5,0.1464569837957,0.12912505094893,0.1222039726264,0.11877874789032,0.116176904858,0.12126650164544
81.25,0.1461005120082,0.12928317437584,0.12228585637879,0.11880811463936,0.11626998669271,0.12415209945234
120,0.14569880641167,0.12945855618383,0.12237902012489,0.11884535031468,0.11647235097426,0.12669148050471
