time,cLi_avg,q_left
0,0,0
1,0.0021734662835555,-2.2259407585593e-05
2.5,0.003594545174159,-1.1298399934479e-05
4.75,0.0050169508193703,-7.5298503830083e-06
8.125,0.0065792301831943,-5.5082320355802e-06
13.1875,0.00836530223981,-4.2985817758717e-06
20.78125,0.01044775310075,-3.5061123770084e-06
32.171875,0.012899275446712,-2.9370460464146e-06
49.2578125,0.015796711581852,-2.5031839364635e-06
74.88671875,0.019223383927958,-2.1470675021479e-06
113.330078125,0.023272513778974,-1.7983517259507e-06
170.9951171875,0.028053465810889,-1.3852008124347e-06
200,0.030217745636116,-1.1937457758261e-06
