time,cLi_avg,q_left
0,0,0
1,0.01329152959124,-7.6536092360066e-05
2.5,0.02202051050137,-3.6647451057039e-05
4.75,0.030572350434246,-2.5555078869657e-05
8.125,0.039780513989799,-1.7265880676613e-05
13.1875,0.050067750138419,-3.7201047414433e-06
20.78125,0.06172690067787,1.9688552455705e-05
32.171875,0.074960660998828,4.7664356538429e-05
49.2578125,0.089825673582623,6.7100795402988e-05
74.88671875,0.10605578576705,6.956484516698e-05
100.515625,0.11841887251175,6.2168236613778e-05
126.14453125,0.1280621045591,5.2459734555465e-05
151.7734375,0.13568192850372,4.3206578253728e-05
177.40234375,0.14174830709711,3.5212133520364e-05
200,0.14612904182234,2.9222788366406e-05
