time,cLi_s1,cLi_s2,cLi_s3,cLi_s4,cLi_s5,cLi_s6
0,0.14316175654068,0.11580860259504,0.102615207586,0.092721488147603,0.075528556688706,0.056321668676827
10,0.14165507482055,0.11634904706994,0.10273628912016,0.09214355555485,0.075451418575731,0.066807647318466
25,0.13956324696812,0.11697921508676,0.1028649349557,0.091427088969992,0.077071499281334,0.080729001789708
47.5,0.13682598512164,0.11749820132853,0.10300332040963,0.091226297084081,0.081426608563125,0.098912258727361
81.25,0.13343982339758,0.11760283712797,0.10335990401332,0.092579834472933,0.088723183870766,0.11703530881591
131.875,0.12945512379531,0.11713069508287,0.10443092520238,0.096178746038784,0.097885980331543,0.12850040817309
207.8125,0.12511006983726,0.11632491031515,0.10667160449789,0.10192323590776,0.10778726174385,0.13715396717318
321.71875,0.12107488099464,0.11578851702802,0.11012932628703,0.10909926883087,0.11760607585951,0.14398129074046
492.578125,0.11843837173484,0.11622287760859,0.11451246311835,0.1167819333573,0.12670593724414,0.14940216109941
748.8671875,0.11823897149856,0.11823401919365,0.11955529584733,0.12422582345267,0.13461227449976,0.1536082033083
1133.30078125,0.12094257442918,0.12217491092193,0.12523486499581,0.1311410103842,0.14117822506224,0.15677969843919
1709.951171875,0.12631440804925,0.12800694803859,0.13164280896936,0.13767100676733,0.14666402361801,0.15919466553565
2574.9267578125,0.13362808231789,0.13529203830569,0.13871411570414,0.1440539564683,0.15149171651628,0.16115352411225
3600,0.14055519865605,0.14199452735191,0.14490050376432,0.14930600188522,0.15521941288024,0.16258557325583
