time,effPlastic_strain,matl_ts_min,von_mises,yield_stregnth
0,0,0,0,0
0.01,0.0001579369514669,0.015,31.081119802329,0.95000224604477
0.01375,0.093984603109261,0.001875,18725.644038326,0.95076965275376
