time,effPlastic_strain,hard,matl_ts_min,strain_yy,stress_yy,u_z,von_mises
0,0,0,0,0,0,0,0
0.05,0,0,1.7976931348623e+308,4.9999999998185e-06,0.039049940929452,3.7500093750234e-08,0.039050018653664
0.125,0,0,1.7976931348623e+308,1.2499999999189e-05,0.097624420403963,9.3750585940283e-08,0.097625183060167
0.2375,0,0,1.7976931348623e+308,2.3749999997416e-05,0.18548739635789,1.7812711525235e-07,0.1854875327098
0.40625,0,0,383672.54986892,4.0624999991344e-05,0.31727840868293,3.0469368905289e-07,0.31728173163133
0.659375,0,0,44841.712453983,6.593749997112e-05,0.51496713213842,4.9454755444988e-07,0.51496713443552
1.0390625,0,0,5794.5351898605,0.00010390624990269,0.81145189584607,7.7933736335886e-07,0.8114518985589
1.60859375,3.2973776334075e-05,0.00032973776334075,0.25978232035065,0.00016085795459587,0.99867448999838,1.2065423518867e-06,0.9989110483969
1.8683760703506,5.8837924946623e-05,0.00058837924946623,0.19007628362501,0.00018683360729771,0.9996450695335,1.4014129671839e-06,0.99997456031135
2.0584523539757,7.7815902988534e-05,0.00077815902988534,0.20773143747162,0.00020583876515682,0.99992713537201,1.5439981725428e-06,1.0003088777557
2.2661837914473,9.8564045307621e-05,0.00098564045307621,0.21072261179024,0.00022660860255266,1.0001835745751,1.6998304429056e-06,1.0006190404704
2.4769064032375,0.00011960734821894,0.0011960734821895,0.21926883081846,0.00024767697484692,1.0004722088951,1.8579098865649e-06,1.0009452436728
2.696175234056,0.00014150401652201,0.0014150401652201,0.22363487895121,0.0002695992520227,1.0007733026381,2.0224040512738e-06,1.0012813513214
2.9198101130072,0.00016383514432795,0.0016383514432795,0.2376560059542,0.00029195764524574,1.0010848379742,2.1901773144934e-06,1.0016055805896
3.1574661189614,0.00018757542772831,0.0018757542772831,0.24285621819578,0.00031571736035706,1.0013400610609,2.3684734884962e-06,1.0018757542773
3.4003223371572,0.00021183627166302,0.0021183627166302,0.25718536549965,0.0003399966929948,1.0015844378776,2.5506753844376e-06,1.0021183627166
3.6575077026568,0.00023752628010695,0.0023752628010695,0.26923858105546,0.00036570829237105,1.0018515682656,2.7436324894876e-06,1.0023752628011
3.9267462837123,0.0002644177751928,0.002644177751928,0.2838877066629,0.00039262471906299,1.0021399661159,2.9456380138351e-06,1.0026441777519
4.2106339903752,0.00029276942552085,0.0029276942552085,0.30346262450329,0.00042100564003276,1.0024546383259,3.1586404403128e-06,1.0029276942552
4.5140966148785,0.00032307349157177,0.0032307349157177,0.32449610899439,0.00045134359967862,1.0027965210149,3.3863367164875e-06,1.0032307349157
4.8385927238729,0.00035547539604817,0.0035547539604817,0.35197976303096,0.00048378465206764,1.0031673208547,3.6298226340538e-06,1.0035547539605
5.1905724869038,0.00039062009831789,0.0039062009831789,0.37808964602883,0.00051897371960025,1.0035666178159,3.8939398669341e-06,1.0039062009832
5.5686621329327,0.00042837005086285,0.0042837005086285,0.41674717072507,0.00055677388930375,1.0039959198659,4.1776596908667e-06,1.0042837005086
5.9854093036577,0.00046997855439892,0.0046997855439892,0.46231335089029,0.00059843993268409,1.0044652939776,4.4904006883924e-06,1.004699785544
6.447722654548,0.0005161361261072,0.005161361261072,0.51416114320736,0.0006446629288709,1.0049776906379,4.8373513187745e-06,1.0051613612611
6.8847596262743,0.00055977086849897,0.0055977086849897,0.58327944584303,0.00068836055400312,1.0054549738735,5.1653476250319e-06,1.005597708685
