LAMMPS data file - SE Layer in Cylinder (SI Units)
# Cylinder radius: 2.000000e-05 m

 10232  atoms

   1 atom types

 -2.000000000000000e-05   2.000000000000000e-05 xlo xhi
 -2.000000000000000e-05   2.000000000000000e-05 ylo yhi
  0.000000000000000e+00   2.500000000000000e-05 zlo zhi

Atoms # sphere

    1    1 1.2083333333e-06 5.0000000000e+03   1.199078961074661e-05   7.885805468791779e-06   1.812189456191745e-06
    2    1 1.2083333333e-06 5.0000000000e+03  -8.613744415776473e-06  -3.957235195403918e-06   5.016536730872290e-06
    3    1 1.2083333333e-06 5.0000000000e+03   8.420374637228718e-06   1.652799593419797e-06   1.428830628460650e-05
    4    1 1.2083333333e-06 5.0000000000e+03   1.245554629475287e-05  -1.278478467428083e-05   4.592679668572717e-06
    5    1 1.2083333333e-06 5.0000000000e+03  -9.304241175389045e-06  -1.306425318269368e-05   8.265521478960550e-06
    6    1 1.2083333333e-06 5.0000000000e+03  -4.760016598080224e-06   1.365566054061285e-05   1.813750930371167e-05
    7    1 1.2083333333e-06 5.0000000000e+03   8.464947533653147e-06  -1.196707775046827e-05   1.889549273489291e-05
    8    1 1.2083333333e-06 5.0000000000e+03   1.496576190754681e-05   4.688672324825614e-06   1.749414612075923e-05
    9    1 1.2083333333e-06 5.0000000000e+03  -8.821681281007365e-06  -5.795967539917750e-06   1.125888408472906e-05
   10    1 1.2083333333e-06 5.0000000000e+03   4.760184655606324e-06  -1.506577109493568e-05   1.671156694442505e-05
   11    1 1.2083333333e-06 5.0000000000e+03   1.021200344079118e-05  -1.181593168668654e-06   6.840530067248241e-06
   12    1 1.2083333333e-06 5.0000000000e+03   7.130869126478599e-07  -1.223634412183633e-05   1.206231329999702e-05
   13    1 1.2083333333e-06 5.0000000000e+03   1.553993978134516e-06   7.768001609883560e-06   1.656760762723595e-05
   14    1 1.2083333333e-06 5.0000000000e+03   1.117656220890573e-05   1.568058491321455e-05   1.146875988686805e-05
   15    1 1.2083333333e-06 5.0000000000e+03   1.692102308865446e-05   7.235517718408850e-06   1.832910305858330e-05
   16    1 1.2083333333e-06 5.0000000000e+03  -1.895804214909441e-05   1.342311173478750e-06   1.461011374966148e-05
   17    1 1.2083333333e-06 5.0000000000e+03   5.305753546739844e-06  -2.866151792956940e-06   1.664298354058245e-05
