iLi_x,iLi_y,id,x,y,z
-3.1344958517946e-18,0.030435111096953,27896,0.010566243270268,20,0
-3.1344958517946e-18,0.030435111096953,27896,0.039433756729772,20,0
0,0.030431561420304,28750,0.06056624327033,20,0
0,0.030431561420304,28750,0.089433756729897,20,0
0,0.030428245820099,6509,0.11056624327048,20,0
0,0.030428245820099,6509,0.13943375673007,20,0
0,0.030413666214338,21045,0.16056624327067,20,0
0,0.030413666214338,21045,0.18943375673025,20,0
0,0.030401879365342,19445,0.21056624327084,20,0
0,0.030401879365342,19445,0.23943375673043,20,0
3.0630735748792e-18,0.030388691910193,28658,0.26056624327099,20,0
3.0630735748792e-18,0.030388691910193,28658,0.2894337567305,20,0
0,0.03036994851022,6467,0.31056624327103,20,0
0,0.03036994851022,6467,0.33943375673054,20,0
0,0.030348125216925,22498,0.36056624327109,20,0
0,0.030348125216925,22498,0.38943375673064,20,0
0,0.030325928310868,6277,0.41056624327122,20,0
0,0.030325928310868,6277,0.43943375673081,20,0
0,0.030302315299452,19292,0.4605662432714,20,0
0,0.030302315299452,19292,0.48943375673099,20,0
0,0.030258430723457,25674,0.51056624327158,20,0
0,0.030258430723457,25674,0.53943375673117,20,0
-2.1569250854647e-18,0.030228320681758,21554,0.56056624327174,20,0
-2.1569250854647e-18,0.030228320681758,21554,0.58943375673126,20,0
2.4374745469362e-18,0.030188723110531,18470,0.6105662432718,20,0
2.4374745469362e-18,0.030188723110531,18470,0.6394337567313,20,0
3.1779910837744e-18,0.030153403592882,27907,0.66056624327185,20,0
3.1779910837744e-18,0.030153403592882,27907,0.68943375673138,20,0
-2.4515974298693e-18,0.030114389913029,9579,0.71056624327196,20,0
-2.4515974298693e-18,0.030114389913029,9579,0.73943375673154,20,0
0,0.030070621733051,23497,0.76056624327214,20,0
0,0.030070621733051,23497,0.78943375673172,20,0
0,0.029987121197574,623,0.81056624327232,20,0
0,0.029987121197574,623,0.8394337567319,20,0
4.3281603334715e-18,0.029987121197574,13503,0.86056624327248,20,0
4.3281603334715e-18,0.029987121197574,13503,0.88943375673202,20,0
0,0.029897808218981,15470,0.91056624327256,20,0
0,0.029897808218981,15470,0.93943375673207,20,0
0,0.029849120044669,28438,0.96056624327261,20,0
0,0.029849120044669,28438,0.98943375673212,20,0
-4.2567912260285e-18,0.029803509204241,15151,1.0105662432727,20,0
