iEn_x,iEn_y,iLi_x,iLi_y,id,x,y,z
-5.0697195459305e-05,0.0073077525409572,-0.010763626834582,0.19285290091259,14350,0.30211324865331,0,0
-5.0697195459305e-05,0.0073077525409572,-0.010763626834582,0.19285290091259,14350,0.30788675134519,0,0
2.5895918620233e-05,0.0074641372906661,0.0076334091632657,0.19274742568953,14663,0.78211324865348,0,0
2.5895918620233e-05,0.0074641372906661,0.0076334091632657,0.19274742568953,14663,0.78788675134539,0,0
-2.5892253687099e-05,0.0074641399453858,-0.0076328176356055,0.19274724661644,14666,0.21211324865357,0,0
-2.5892253687099e-05,0.0074641399453858,-0.0076328176356055,0.19274724661644,14666,0.21788675134545,0,0
-4.5038913870034e-05,0.0073519520292832,-0.010185191223672,0.19285445990153,15305,0.28211324865337,0,0
-4.5038913870034e-05,0.0073519520292832,-0.010185191223672,0.19285445990153,15305,0.28788675134525,0,0
3.6329950814371e-05,0.0074108539723098,0.0091554236728568,0.19279721231136,19980,0.74211324865337,0,0
3.6329950814371e-05,0.0074108539723098,0.0091554236728568,0.19279721231136,19980,0.74788675134528,0,0
-1.7606657257864e-05,0.0075124203194824,-0.0057238920967155,0.19273330653918,25157,0.16211324865372,0,0
-1.7606657257864e-05,0.0075124203194824,-0.0057238920967155,0.19273330653918,25157,0.1678867513456,0,0
1.7606977080975e-05,0.0075124204022098,0.0057239702839218,0.19273332198749,25158,0.83211324865361,0,0
1.7606977080975e-05,0.0075124204022098,0.0057239702839218,0.19273332198749,25158,0.83788675134552,0,0
-3.5720099298864e-05,0.0073996721985068,-0.0091466119649941,0.19273175329348,25164,0.25211324865346,0,0
-3.5720099298864e-05,0.0073996721985068,-0.0091466119649941,0.19273175329348,25164,0.25788675134534,0,0
6.16479646004e-05,0.0070044340854417,0.0094214537748057,0.19261005139093,25217,0.58211324865295,0,0
6.16479646004e-05,0.0070044340854417,0.0094214537748057,0.19261005139093,25217,0.58788675134486,0,0
6.5240820770475e-05,0.0071530597395263,0.011341618688627,0.19278062990907,26851,0.63211324865308,0,0
6.5240820770475e-05,0.0071530597395263,0.011341618688627,0.19278062990907,26851,0.63788675134499,0,0
-4.7539047002054e-05,0.0069211192236359,-0.0068586875950349,0.19240134511467,33483,0.4421132486529,0,0
-4.7539047002054e-05,0.0069211192236359,-0.0068586875950349,0.19240134511467,33483,0.44788675134478,0,0
5.0636124740295e-05,0.007304282756319,0.010757175336121,0.19281029487306,42019,0.69211324865324,0,0
5.0636124740295e-05,0.007304282756319,0.010757175336121,0.19281029487306,42019,0.69788675134515,0,0
5.6407534562153e-05,0.0069764817142945,0.0087108780360556,0.19257728096289,42122,0.57211324865293,0,0
5.6407534562153e-05,0.0069764817142945,0.0087108780360556,0.19257728096289,42122,0.57788675134484,0,0
-7.6677828059202e-06,0.0075546727350775,-0.0028655629084606,0.19263410615827,47430,0.082113248653894,0,0
-7.6677828059202e-06,0.0075546727350775,-0.0028655629084606,0.19263410615827,47430,0.087886751345781,0,0
7.6677525868731e-06,0.0075546728735465,0.0028655715926814,0.19263410722076,47431,0.91211324865382,0,0
7.6677525868731e-06,0.0075546728735465,0.0028655715926814,0.19263410722076,47431,0.91788675134573,0,0
4.4117198423343e-05,0.0073561774390591,0.010188110255771,0.19283078071641,47745,0.71211324865329,0,0
4.4117198423343e-05,0.0073561774390591,0.010188110255771,0.19283078071641,47745,0.71788675134521,0,0
-1.4371539596156e-05,0.0068587298157331,-0.0020448169052993,0.1923924619468,50303,0.48211324865279,0,0
-1.4371539596156e-05,0.0068587298157331,-0.0020448169052993,0.1923924619468,50303,0.48788675134467,0,0
3.7563685173492e-06,0.0075635051389409,0.0014993068739866,0.19261735608211,51568,0.95211324865393,0,0
3.7563685173492e-06,0.0075635051389409,0.0014993068739866,0.19261735608211,51568,0.95788675134584,0,0
-3.7563898429571e-06,0.0075635050566047,-0.0014993041221878,0.1926173556891,51569,0.042113248653969,0,0
-3.7563898429571e-06,0.0075635050566047,-0.0014993041221878,0.1926173556891,51569,0.047886751345852,0,0
2.1045535118515e-06,0.0075660898189126,0.00083014378696214,0.19263568773414,54620,0.97211324865398,0,0
2.1045535118515e-06,0.0075660898189126,0.00083014378696214,0.19263568773414,54620,0.97788675134589,0,0
-2.1045662628172e-06,0.0075660897551995,-0.00083014248608571,0.19263568743988,54621,0.02211324865401,0,0
-2.1045662628172e-06,0.0075660897551995,-0.00083014248608571,0.19263568743988,54621,0.027886751345895,0,0
-1.6024626723565e-05,0.007520161281086,-0.0053712473488954,0.19271315934111,58520,0.15211324865375,0,0
-1.6024626723565e-05,0.007520161281086,-0.0053712473488954,0.19271315934111,58520,0.15788675134563,0,0
1.6024815890746e-05,0.0075201614335707,0.005371306230378,0.19271316946168,58521,0.84211324865364,0,0
