id,potEn,potLi,x,y,z
14349,0,0.003819407445668,0.69788675134666,1,0
14349,0,0.0038193872728515,0.6921132486548,1,0
14664,0,0.0038196616921436,0.21788675134685,1,0
14664,0,0.0038196759980266,0.21211324865493,1,0
14665,0,0.003819675999924,0.78788675134603,1,0
14665,0,0.0038196616949595,0.78211324865418,1,0
15304,0,0.0038194749568061,0.71788675134652,1,0
15304,0,0.0038194558671481,0.71211324865466,1,0
19979,0,0.0038195511506455,0.25788675134702,1,0
19979,0,0.0038195683096676,0.2521132486551,1,0
25155,0,0.0038197718795899,0.16788675134665,1,0
25155,0,0.0038197826095947,0.16211324865473,1,0
25156,0,0.0038197826093211,0.83788675134569,1,0
25156,0,0.0038197718793711,0.83211324865383,1,0
25165,0,0.0038195683022496,0.74788675134631,1,0
25165,0,0.0038195511609224,0.74211324865445,1,0
25218,0,0.0038189975884335,0.41788675134769,1,0
25218,0,0.003819015252892,0.41211324865577,1,0
26850,0,0.0038191679495452,0.36788675134748,1,0
26850,0,0.0038191892101912,0.36211324865556,1,0
33482,0,0.003818932762406,0.55788675134763,1,0
33482,0,0.0038189199013151,0.55211324865577,1,0
42020,0,0.0038193872830371,0.30788675134723,1,0
42020,0,0.0038194074448554,0.30211324865531,1,0
42123,0,0.0038189688163508,0.42788675134773,1,0
42123,0,0.0038189851457998,0.42211324865581,1,0
47428,0,0.0038198855701548,0.087886751346314,1,0
47428,0,0.0038198909427993,0.082113248654394,1,0
47429,0,0.0038198909423975,0.91788675134561,1,0
47429,0,0.0038198855697505,0.91211324865369,1,0
47744,0,0.0038194558953279,0.28788675134715,1,0
47744,0,0.0038194749885823,0.28211324865523,1,0
50304,0,0.0038188692024309,0.5178867513479,1,0
50304,0,0.003818865368501,0.51211324865605,1,0
51570,0,0.0038199179059077,0.95788675134577,1,0
51570,0,0.003819915094938,0.95211324865385,1,0
51571,0,0.0038199150953253,0.047886751346147,1,0
51571,0,0.0038199179062931,0.042113248654227,1,0
54622,0,0.0038199248107077,0.97788675134586,1,0
54622,0,0.0038199232541892,0.97211324865394,1,0
54623,0,0.0038199232545706,0.027886751346064,1,0
54623,0,0.0038199248110879,0.022113248654144,1,0
58518,0,0.0038197902224837,0.15788675134661,1,0
58518,0,0.0038198002912784,0.15211324865468,1,0
58519,0,0.0038198002909395,0.84788675134562,1,0
58519,0,0.003819790222178,0.84211324865376,1,0
58718,0,0.0038188846736359,0.4678867513479,1,0
58718,0,0.0038188932987951,0.46211324865597,1,0
60355,0,0.0038198319697123,0.86788675134548,1,0
60355,0,0.0038198233336586,0.86211324865362,1,0
60356,0,0.003819823334046,0.13788675134652,1,0
60356,0,0.0038198319701091,0.1321132486546,1,0
61154,0,0.0038188792542742,0.52788675134784,1,0
61154,0,0.0038188729231126,0.52211324865598,1,0
63198,0,0.0038189851905946,0.57788675134749,1,0
63198,0,0.0038189688538286,0.57211324865563,1,0
68037,0,0.0038199271124676,0.007886751345981,1,0
68037,0,0.0038199274120373,0.0021132486540607,1,0
68040,0,0.0038199274116591,0.99788675134594,1,0
68040,0,0.0038199271120891,0.99211324865402,1,0
72247,0,0.0038189112128604,0.5478867513477,1,0
