iEn_x,iEn_y,iLi_x,iLi_y,id,x,y,z
-5.7869556073599e-19,0.0075968988769814,-0.010502387058934,0.19256882593854,14349,0.69788675134666,1,0
-5.7869556073599e-19,0.0075968988769814,-0.010502387058934,0.19256882593854,14349,0.6921132486548,1,0
0,0.0077077148617117,0.0074466346923763,0.19263246179629,14664,0.21788675134685,1,0
0,0.0077077148617117,0.0074466346923763,0.19263246179629,14664,0.21211324865493,1,0
0,0.0077077148295542,-0.0074461563256967,0.19263229341066,14665,0.78788675134603,1,0
0,0.0077077148295542,-0.0074461563256967,0.19263229341066,14665,0.78211324865418,1,0
0,0.0076306709359578,-0.0099380872423116,0.19261640844315,15304,0.71788675134652,1,0
0,0.0076306709359578,-0.0099380872423116,0.19261640844315,15304,0.71211324865466,1,0
-1.0839044845424e-18,0.0076733962449521,0.0089324697676898,0.1926234749372,19979,0.25788675134702,1,0
-1.0839044845424e-18,0.0076733962449521,0.0089324697676898,0.1926234749372,19979,0.2521132486551,1,0
0,0.0077348967974462,0.0055847989321456,0.19267143797241,25155,0.16788675134665,1,0
0,0.0077348967974462,0.0055847989321456,0.19267143797241,25155,0.16211324865473,1,0
0,0.0077348964533383,-0.0055847704679146,0.19267142854179,25156,0.83788675134569,1,0
0,0.0077348964533383,-0.0055847704679146,0.19267142854179,25156,0.83211324865383,1,0
0,0.0076659277911653,-0.0089232545619211,0.19254819437375,25165,0.74788675134631,1,0
0,0.0076659277911653,-0.0089232545619211,0.19254819437375,25165,0.74211324865445,1,0
1.0616784077907e-18,0.0073272671139887,0.0091980399486955,0.19201956484943,25218,0.41788675134769,1,0
1.0616784077907e-18,0.0073272671139887,0.0091980399486955,0.19201956484943,25218,0.41211324865577,1,0
5.3049631570249e-19,0.0074659813797283,0.011069890473196,0.19233738126412,26850,0.36788675134748,1,0
5.3049631570249e-19,0.0074659813797283,0.011069890473196,0.19233738126412,26850,0.36211324865556,1,0
5.617159089689e-19,0.0072444374767547,-0.0066970549361962,0.19173240588016,33482,0.55788675134763,1,0
5.617159089689e-19,0.0072444374767547,-0.0066970549361962,0.19173240588016,33482,0.55211324865577,1,0
0,0.0075938115702404,0.010496655251491,0.1925236362682,42020,0.30788675134723,1,0
0,0.0075938115702404,0.010496655251491,0.1925236362682,42020,0.30211324865531,1,0
1.0235224111817e-18,0.0072984231748447,0.0085029672030022,0.19195933464911,42123,0.42788675134773,1,0
1.0235224111817e-18,0.0072984231748447,0.0085029672030022,0.19195933464911,42123,0.42211324865581,1,0
0,0.007755018565115,0.0027960991488829,0.19262201233933,47428,0.087886751346314,1,0
0,0.007755018565115,0.0027960991488829,0.19262201233933,47428,0.082113248654394,1,0
0,0.0077550188046968,-0.0027961004368526,0.19262201225423,47429,0.91788675134561,1,0
0,0.0077550188046968,-0.0027961004368526,0.19262201225423,47429,0.91211324865369,1,0
5.3572991482516e-19,0.0076341656932859,0.0099399604881183,0.19259798018889,47744,0.28788675134715,1,0
5.3572991482516e-19,0.0076341656932859,0.0099399604881183,0.19259798018889,47744,0.28211324865523,1,0
9.7819725158774e-19,0.0071796182623719,-0.0019964468585023,0.19166059121445,50304,0.5178867513479,1,0
9.7819725158774e-19,0.0071796182623719,-0.0019964468585023,0.19166059121445,50304,0.51211324865605,1,0
0,0.0077585886131307,-0.0014628802486039,0.19261568503648,51570,0.95788675134577,1,0
0,0.0077585886131307,-0.0014628802486039,0.19261568503648,51570,0.95211324865385,1,0
0,0.007758588311813,0.0014628791952798,0.19261568495388,51571,0.047886751346147,1,0
0,0.007758588311813,0.0014628791952798,0.19261568495388,51571,0.042113248654227,1,0
-5.3582792589036e-19,0.0077595808992875,-0.00081003479282352,0.1926364457841,54622,0.97788675134586,1,0
